iter	Passed	Remaining
0	7	3222
1	12	2843
2	17	2630
3	23	2608
4	28	2505
5	33	2459
6	38	2423
7	42	2375
8	48	2367
9	53	2342
10	58	2330
11	63	2324
12	69	2334
13	74	2333
14	79	2317
15	84	2303
16	90	2295
17	95	2287
18	100	2285
19	105	2277
20	110	2259
21	116	2267
22	122	2264
23	126	2250
24	132	2247
25	137	2242
26	143	2240
27	148	2234
28	153	2222
29	158	2214
30	163	2211
31	168	2197
32	174	2204
33	179	2197
34	184	2187
35	189	2179
36	194	2171
37	199	2166
38	205	2164
39	211	2169
40	217	2164
41	222	2158
42	227	2149
43	232	2143
44	237	2137
45	242	2130
46	247	2121
47	252	2117
48	258	2116
49	263	2109
50	270	2112
51	275	2106
52	280	2097
53	285	2096
54	290	2089
55	296	2083
56	301	2080
57	306	2073
58	311	2067
59	317	2061
60	322	2053
61	327	2047
62	332	2044
63	337	2036
64	343	2031
65	347	2023
66	352	2017
67	358	2015
68	363	2007
69	368	2002
70	374	1996
71	379	1990
72	384	1985
73	390	1981
74	395	1976
75	400	1970
76	405	1962
77	410	1957
78	415	1951
79	420	1945
80	425	1940
81	431	1934
82	436	1931
83	442	1927
84	447	1919
85	452	1914
86	457	1907
87	462	1901
88	467	1896
89	472	1891
90	477	1885
91	483	1879
92	488	1874
93	493	1868
94	498	1863
95	503	1857
96	508	1852
97	513	1845
98	518	1839
99	523	1833
100	529	1829
101	534	1824
102	539	1817
103	545	1813
104	551	1810
105	556	1807
106	562	1802
107	567	1797
108	572	1791
109	578	1786
110	583	1783
111	589	1780
112	597	1781
113	602	1777
114	608	1771
115	612	1764
116	618	1759
117	623	1754
118	628	1747
119	633	1741
120	638	1736
121	643	1729
122	648	1724
123	653	1717
124	658	1712
125	663	1707
126	669	1702
127	674	1697
128	679	1691
129	684	1685
130	689	1680
131	695	1674
132	700	1668
133	704	1662
134	709	1656
135	715	1651
136	720	1645
137	724	1638
138	730	1633
139	735	1628
140	740	1623
141	746	1618
142	751	1612
143	756	1607
144	761	1601
145	766	1595
146	771	1590
147	776	1585
148	781	1579
149	787	1575
150	793	1570
151	798	1564
152	803	1559
153	808	1554
154	813	1548
155	818	1543
156	823	1537
157	828	1531
158	833	1526
159	838	1520
160	844	1515
161	849	1510
162	854	1504
163	859	1498
164	864	1493
165	869	1487
166	874	1482
167	879	1476
168	885	1472
169	890	1467
170	895	1461
171	900	1456
172	906	1451
173	912	1447
174	917	1442
175	922	1435
