iter	Passed	Remaining
0	7	3336
1	12	2862
2	18	2769
3	23	2654
4	28	2566
5	34	2525
6	39	2490
7	44	2453
8	50	2462
9	55	2424
10	60	2406
11	65	2402
12	70	2381
13	76	2388
14	81	2372
15	86	2356
16	92	2346
17	97	2342
18	102	2323
19	107	2316
20	112	2302
21	117	2289
22	122	2279
23	127	2267
24	132	2255
25	137	2246
26	142	2238
27	148	2232
28	153	2221
29	157	2209
30	162	2201
31	167	2190
32	172	2184
33	177	2175
34	182	2165
35	187	2160
36	193	2154
37	198	2153
38	203	2148
39	208	2141
40	214	2135
41	219	2127
42	224	2120
43	229	2116
44	234	2110
45	239	2104
46	244	2095
47	249	2088
48	254	2083
49	259	2075
50	264	2069
51	269	2062
52	274	2056
53	279	2051
54	284	2044
55	289	2037
56	294	2032
57	299	2025
58	304	2018
59	309	2011
60	314	2006
61	319	2000
62	324	1993
63	329	1988
64	335	1985
65	340	1978
66	345	1976
67	351	1973
68	356	1967
69	361	1962
70	366	1955
71	371	1949
72	376	1943
73	381	1937
74	386	1933
75	392	1931
76	397	1924
77	402	1920
78	407	1913
79	412	1908
80	417	1903
81	422	1896
82	428	1893
83	433	1888
84	438	1883
85	444	1879
86	451	1882
87	459	1889
88	466	1893
89	472	1889
90	479	1890
91	485	1890
92	492	1890
93	498	1886
94	504	1885
95	512	1891
96	521	1897
97	529	1903
98	535	1898
99	540	1891
100	547	1891
101	552	1886
102	558	1881
103	563	1874
104	569	1870
105	574	1863
106	579	1857
107	584	1850
108	589	1845
109	594	1839
110	600	1833
111	605	1827
112	611	1822
113	616	1816
114	621	1810
115	626	1803
116	631	1797
117	636	1789
118	641	1784
119	646	1777
120	651	1771
121	656	1765
122	661	1759
123	666	1753
124	672	1747
125	677	1742
126	682	1736
127	687	1730
128	693	1725
129	698	1719
130	703	1712
131	708	1706
132	713	1700
133	718	1695
134	724	1690
135	729	1684
136	734	1678
137	739	1672
138	745	1667
139	750	1661
140	755	1656
141	761	1650
142	766	1644
143	771	1638
144	776	1632
145	781	1627
146	786	1620
147	792	1616
148	797	1610
149	802	1604
150	807	1599
151	812	1593
152	818	1588
153	823	1582
154	828	1577
155	833	1571
156	839	1566
157	844	1559
158	849	1554
159	854	1549
160	859	1543
161	865	1537
162	869	1531
163	874	1525
164	880	1520
165	885	1514
166	890	1508
167	895	1503
168	900	1497
169	906	1493
170	911	1487
171	917	1482
172	922	1477
173	928	1472
174	933	1466
175	938	1460
176	943	1454
177	948	1449
178	953	1443
179	958	1438
180	964	1432
181	969	1427
182	974	1421
183	979	1415
184	985	1411
185	990	1405
186	995	1400
187	1000	1394
188	1005	1388
189	1010	1382
190	1015	1376
191	1020	1371
192	1025	1365
193	1030	1360
194	1036	1354
195	1040	1348
196	1046	1343
197	1051	1338
198	1056	1332
199	1061	1327
200	1066	1321
201	1072	1316
202	1077	1310
203	1082	1305
204	1087	1299
205	1092	1294
206	1097	1288
207	1102	1282
208	1107	1277
209	1112	1271
210	1117	1266
211	1122	1260
212	1128	1255
213	1133	1250
214	1138	1244
215	1144	1240
216	1149	1234
217	1154	1228
218	1160	1223
219	1165	1218
220	1170	1212
221	1175	1207
222	1181	1202
223	1186	1197
224	1192	1192
225	1196	1186
226	1202	1181
227	1207	1175
228	1212	1170
229	1217	1164
230	1222	1158
231	1227	1153
232	1232	1148
233	1238	1142
234	1244	1138
235	1249	1133
236	1254	1127
237	1259	1121
238	1264	1116
239	1269	1110
240	1274	1105
241	1279	1099
242	1284	1094
243	1290	1089
244	1294	1083
245	1300	1078
246	1305	1072
247	1310	1067
248	1316	1062
249	1321	1057
250	1326	1051
251	1332	1046
252	1337	1041
253	1342	1036
254	1347	1030
255	1352	1025
256	1358	1019
257	1362	1014
258	1368	1009
259	1373	1003
260	1378	998
261	1383	993
262	1389	988
263	1394	982
264	1399	977
265	1404	971
266	1409	966
267	1416	961
268	1421	956
269	1427	951
270	1433	946
271	1438	941
272	1443	935
273	1448	930
274	1453	924
275	1458	919
276	1463	914
277	1468	908
278	1473	903
279	1478	897
280	1483	892
281	1488	886
282	1493	881
283	1498	876
284	1504	870
285	1509	865
286	1514	860
287	1519	854
288	1524	849
289	1529	844
290	1534	838
291	1540	833
292	1545	828
293	1550	822
294	1556	817
295	1561	812
296	1565	806
297	1571	801
298	1575	795
299	1580	790
300	1586	785
301	1591	779
302	1597	774
303	1602	769
304	1607	764
305	1613	759
306	1617	753
307	1623	748
308	1628	743
309	1633	737
310	1638	732
311	1643	726
312	1648	721
313	1654	716
314	1659	711
315	1664	705
316	1669	700
317	1674	695
318	1679	689
319	1685	684
320	1690	679
321	1697	674
322	1703	669
323	1708	664
324	1714	659
325	1721	654
326	1729	650
327	1735	645
328	1740	640
329	1746	635
330	1753	630
331	1758	625
332	1764	619
333	1769	614
334	1775	609
335	1780	603
336	1785	598
337	1790	593
338	1796	588
339	1801	582
340	1806	577
341	1811	572
342	1816	566
343	1822	561
344	1827	556
345	1833	551
346	1838	545
347	1843	540
348	1849	535
349	1854	529
350	1860	524
351	1865	519
352	1870	514
353	1876	508
354	1881	503
355	1887	498
356	1892	493
357	1897	487
358	1902	482
359	1908	477
360	1913	471
361	1918	466
362	1924	461
363	1928	455
364	1934	450
365	1939	445
366	1944	439
367	1950	434
368	1955	429
369	1960	423
370	1965	418
371	1970	413
372	1976	408
373	1982	402
374	1987	397
375	1992	392
376	1997	386
377	2002	381
378	2007	376
379	2012	370
380	2018	365
381	2023	360
382	2028	354
383	2033	349
384	2039	344
385	2044	338
386	2049	333
387	2055	328
388	2060	323
389	2066	317
390	2071	312
391	2075	307
392	2080	301
393	2086	296
394	2091	291
395	2096	285
396	2101	280
397	2107	275
398	2112	269
399	2117	264
400	2122	259
401	2128	254
402	2133	248
403	2138	243
404	2143	238
405	2148	232
406	2153	227
407	2158	222
408	2164	216
409	2169	211
410	2174	206
411	2179	200
412	2184	195
413	2189	190
414	2194	185
415	2199	179
416	2205	174
417	2210	169
418	2215	163
419	2220	158
420	2225	153
421	2230	147
422	2235	142
423	2241	137
424	2246	132
425	2251	126
426	2257	121
427	2262	116
428	2267	110
429	2272	105
430	2277	100
431	2282	95
432	2288	89
433	2293	84
434	2298	79
435	2303	73
436	2308	68
437	2313	63
438	2318	58
439	2323	52
440	2329	47
441	2334	42
442	2339	36
443	2344	31
444	2349	26
445	2354	21
446	2359	15
447	2364	10
448	2369	5
449	2374	0
