iter	Passed	Remaining
0	6	3068
1	11	2683
2	16	2458
3	21	2384
4	26	2334
5	30	2281
6	35	2250
7	41	2266
8	45	2245
9	50	2219
10	55	2230
11	60	2213
12	65	2196
13	70	2186
14	74	2171
15	80	2182
16	85	2168
17	90	2171
18	95	2177
19	100	2167
20	105	2164
21	110	2151
22	115	2138
23	120	2130
24	124	2124
25	130	2127
26	135	2120
27	140	2113
28	144	2104
29	149	2094
30	154	2087
31	160	2090
32	164	2082
33	169	2075
34	174	2065
35	178	2057
36	185	2066
37	190	2061
38	194	2053
39	199	2046
40	204	2037
41	209	2030
42	213	2023
43	218	2016
44	223	2009
45	228	2002
46	232	1995
47	237	1989
48	243	1988
49	247	1982
50	252	1975
51	257	1969
52	262	1962
53	266	1956
54	271	1949
55	276	1942
56	280	1937
57	285	1930
58	290	1924
59	295	1917
60	299	1912
61	305	1909
62	310	1904
63	314	1899
64	319	1893
65	324	1888
66	329	1882
67	333	1875
68	338	1871
69	344	1869
70	349	1863
71	353	1858
72	358	1851
73	363	1845
74	368	1840
75	373	1835
76	377	1829
77	382	1824
78	387	1819
79	392	1814
80	396	1808
81	401	1802
82	406	1797
83	411	1792
84	416	1787
85	421	1782
86	425	1777
87	430	1771
88	436	1768
89	441	1766
90	446	1762
91	452	1759
92	457	1757
93	463	1754
94	468	1751
95	473	1747
96	478	1742
97	483	1736
98	488	1733
99	493	1726
100	498	1720
101	502	1715
102	507	1710
103	512	1706
104	518	1702
105	522	1696
106	527	1691
107	533	1687
108	537	1683
109	542	1677
110	547	1672
111	552	1667
112	558	1665
113	563	1659
114	568	1654
115	572	1649
116	577	1644
117	582	1639
118	587	1635
119	592	1629
120	597	1624
121	602	1619
122	607	1613
123	611	1608
124	616	1603
125	621	1598
126	626	1592
127	630	1586
128	635	1582
129	640	1576
130	645	1571
131	650	1566
132	654	1561
133	659	1556
134	664	1551
135	669	1545
136	674	1539
137	678	1534
138	684	1530
139	690	1528
140	695	1524
141	701	1521
142	706	1517
143	712	1514
144	717	1509
145	722	1504
146	727	1498
147	731	1493
148	736	1488
149	741	1482
150	746	1477
151	751	1473
152	756	1468
153	760	1462
154	765	1457
155	770	1452
156	775	1446
157	780	1441
158	784	1436
159	789	1431
160	794	1426
161	799	1421
162	804	1415
163	808	1410
164	813	1405
165	818	1400
166	823	1396
167	829	1392
168	834	1387
169	839	1383
170	845	1379
171	850	1374
172	856	1370
173	861	1366
174	867	1363
175	873	1359
176	878	1355
177	883	1350
178	888	1345
179	893	1339
180	897	1334
181	902	1329
182	907	1323
183	912	1318
184	916	1313
185	921	1307
186	927	1304
187	940	1310
188	946	1307
189	952	1303
190	958	1299
191	964	1296
192	971	1293
193	977	1289
194	981	1284
195	987	1279
196	992	1274
197	997	1269
198	1003	1265
199	1008	1260
200	1013	1255
201	1017	1249
202	1022	1244
203	1027	1239
204	1031	1233
205	1036	1228
206	1041	1222
207	1046	1217
208	1051	1211
209	1055	1206
210	1060	1200
211	1065	1195
212	1070	1190
213	1075	1185
214	1079	1180
215	1084	1174
216	1089	1169
217	1094	1165
218	1100	1160
219	1104	1154
220	1109	1149
221	1114	1144
222	1118	1138
223	1123	1133
224	1128	1128
225	1133	1123
226	1137	1117
227	1142	1112
228	1147	1107
229	1153	1103
230	1158	1097
231	1162	1092
232	1167	1087
233	1172	1082
234	1177	1077
235	1181	1071
236	1186	1066
237	1191	1061
