iter	Passed	Remaining
0	6	2995
1	12	2707
2	16	2519
3	21	2413
4	27	2465
5	32	2393
6	37	2345
7	41	2313
8	46	2284
9	51	2260
10	56	2250
11	61	2235
12	65	2215
13	70	2202
14	75	2180
15	79	2167
16	84	2151
17	89	2144
18	94	2141
19	99	2149
20	104	2134
21	109	2122
22	113	2112
23	118	2103
24	123	2096
25	129	2103
26	134	2101
27	139	2100
28	144	2094
29	150	2104
30	155	2108
31	160	2102
32	166	2097
33	170	2088
34	175	2078
35	179	2067
36	184	2057
37	189	2049
38	193	2043
39	199	2045
40	204	2036
41	208	2028
42	213	2018
43	218	2012
44	223	2008
45	227	2000
46	232	1992
47	237	1985
48	241	1979
49	246	1973
50	251	1969
51	256	1962
52	260	1953
53	265	1948
54	270	1942
55	275	1936
56	279	1930
57	284	1925
58	289	1919
59	294	1912
60	298	1906
61	303	1898
62	307	1891
63	312	1885
64	317	1880
65	322	1874
66	326	1867
67	331	1861
68	337	1862
69	342	1859
70	349	1864
71	354	1859
72	359	1855
73	364	1851
74	369	1846
75	374	1841
76	379	1836
77	386	1841
78	392	1844
79	397	1838
80	402	1833
81	407	1827
82	412	1823
83	416	1816
84	421	1810
85	426	1805
86	431	1799
87	436	1795
88	441	1789
89	445	1783
90	450	1776
91	455	1773
92	461	1771
93	466	1766
94	471	1762
95	476	1758
96	482	1754
97	487	1751
98	493	1748
99	497	1742
100	502	1736
101	507	1731
102	512	1727
103	517	1721
104	522	1716
105	526	1709
106	531	1704
107	536	1698
108	541	1693
109	545	1686
110	550	1681
111	555	1675
112	560	1670
113	564	1664
114	569	1659
115	574	1652
116	578	1647
117	583	1640
118	588	1635
119	592	1629
120	597	1625
121	602	1618
122	606	1613
123	611	1608
124	616	1603
125	621	1597
126	626	1592
127	630	1587
128	636	1582
129	641	1578
130	645	1572
131	650	1568
132	655	1562
133	660	1556
134	665	1551
135	669	1546
136	674	1541
137	678	1535
138	683	1529
139	688	1524
140	692	1518
141	697	1513
142	702	1507
143	706	1502
144	711	1496
145	716	1491
146	720	1485
147	725	1481
148	730	1475
149	735	1471
150	740	1466
151	745	1461
152	750	1456
153	754	1451
154	759	1446
155	764	1440
156	768	1434
157	773	1429
158	778	1424
159	782	1418
160	787	1414
161	792	1409
162	797	1404
163	802	1399
164	807	1394
165	812	1389
166	816	1384
167	822	1380
168	827	1375
169	831	1369
170	836	1364
171	841	1359
172	845	1354
173	850	1349
174	855	1344
175	859	1338
176	864	1333
177	869	1329
178	874	1324
179	879	1319
180	884	1314
181	889	1309
182	894	1304
183	899	1299
184	904	1295
185	908	1289
186	913	1284
187	917	1279
188	922	1273
189	927	1268
190	931	1263
191	936	1258
192	941	1254
193	946	1248
194	951	1243
195	956	1239
196	961	1235
197	966	1230
198	972	1226
199	977	1222
200	983	1218
201	988	1213
202	993	1208
203	997	1203
204	1002	1198
205	1007	1192
206	1011	1187
207	1017	1183
208	1021	1178
209	1026	1173
210	1031	1168
211	1036	1163
212	1040	1158
213	1045	1152
214	1050	1147
215	1055	1143
216	1059	1137
217	1064	1132
218	1069	1127
219	1074	1122
220	1078	1117
221	1083	1112
222	1087	1107
223	1092	1102
224	1097	1097
225	1102	1092
226	1107	1087
227	1111	1082
228	1116	1077
229	1121	1072
230	1125	1067
231	1131	1062
232	1135	1057
233	1140	1052
234	1145	1047
235	1150	1042
236	1154	1037
237	1159	1033
238	1164	1028
239	1169	1023
240	1174	1018
241	1178	1013
242	1183	1008
243	1188	1003
244	1193	998
245	1198	993
246	1203	989
247	1208	984
248	1213	979
249	1217	974
250	1222	969
251	1227	964
252	1232	959
253	1237	954
254	1241	949
255	1246	944
256	1251	940
257	1256	934
258	1260	929
259	1265	924
260	1270	919
261	1275	914
262	1280	910
263	1285	905
264	1289	900
265	1294	895
266	1299	890
267	1304	885
268	1308	880
269	1313	875
270	1318	870
271	1323	865
272	1327	860
273	1333	856
274	1338	851
275	1343	846
276	1348	841
277	1353	837
278	1358	832
279	1363	827
280	1368	822
281	1373	818
282	1378	813
283	1383	808
284	1388	803
285	1393	798
286	1398	794
287	1402	788
288	1407	783
289	1411	778
290	1416	773
291	1420	768
292	1426	764
293	1431	759
294	1436	754
295	1441	749
296	1446	745
297	1451	740
298	1457	735
299	1462	731
300	1467	726
301	1472	721
302	1477	716
303	1482	712
304	1487	707
305	1492	702
306	1497	697
307	1502	692
308	1507	687
309	1512	682
310	1516	677
311	1522	673
312	1529	669
313	1535	665
314	1541	660
315	1548	656
316	1556	652
317	1563	648
318	1572	645
319	1580	642
320	1586	637
321	1592	632
322	1597	628
323	1603	623
324	1609	618
325	1615	614
326	1620	609
327	1626	604
328	1631	600
329	1636	595
330	1642	590
331	1647	585
332	1652	580
333	1658	576
334	1664	571
335	1669	566
336	1673	561
337	1679	556
338	1684	551
339	1689	546
340	1694	541
341	1699	536
342	1704	531
343	1710	527
344	1715	522
345	1722	517
346	1728	513
347	1733	508
348	1739	503
349	1745	498
350	1750	493
351	1755	488
352	1760	483
353	1766	479
354	1772	474
355	1778	469
356	1783	464
357	1788	459
358	1793	454
359	1798	449
360	1804	444
361	1840	447
362	1869	447
363	1899	448
364	1905	443
365	1911	438
366	1924	435
367	1938	431
368	1944	426
369	1950	421
