iter	Passed	Remaining
0	6	2953
1	12	2708
2	16	2516
3	22	2462
4	26	2394
5	32	2425
6	37	2378
7	42	2358
8	48	2354
9	52	2323
10	58	2332
11	63	2311
12	68	2304
13	73	2302
14	78	2278
15	84	2282
16	88	2266
17	94	2261
18	99	2258
19	104	2252
20	109	2234
21	114	2236
22	119	2226
23	125	2222
24	130	2223
25	135	2211
26	141	2210
27	146	2200
28	151	2200
29	156	2191
30	161	2181
31	166	2179
32	171	2169
33	176	2165
34	181	2155
35	186	2148
36	191	2141
37	196	2135
38	202	2130
39	207	2122
40	212	2116
41	217	2108
42	222	2104
43	227	2097
44	232	2091
45	237	2088
46	243	2085
47	248	2080
48	253	2072
49	258	2071
50	264	2067
51	269	2059
52	274	2055
53	279	2046
54	284	2041
55	288	2033
56	294	2028
57	299	2026
58	304	2017
59	309	2013
60	314	2004
61	319	2001
62	324	1993
63	330	1991
64	335	1986
65	340	1982
66	345	1977
67	350	1969
68	356	1967
69	361	1961
70	366	1955
71	372	1954
72	377	1947
73	382	1941
74	387	1936
75	392	1929
76	397	1924
77	402	1918
78	407	1913
79	412	1906
80	417	1901
81	422	1894
82	427	1889
83	432	1885
84	437	1878
85	442	1873
86	447	1869
87	453	1864
88	458	1858
89	463	1854
90	468	1848
91	473	1842
92	478	1837
93	483	1831
94	488	1826
95	493	1821
96	498	1814
97	503	1810
98	508	1803
99	513	1797
100	518	1792
101	523	1787
102	528	1781
103	534	1777
104	539	1774
105	545	1769
106	550	1764
107	555	1759
108	561	1755
109	566	1750
110	571	1744
111	576	1739
112	581	1734
113	587	1730
114	592	1725
115	597	1719
116	602	1714
117	607	1709
118	612	1704
119	618	1700
120	623	1694
121	628	1688
122	633	1684
123	638	1678
124	643	1673
125	648	1667
126	653	1662
127	658	1656
128	663	1651
129	668	1646
130	673	1640
131	679	1636
132	684	1630
133	689	1625
134	694	1620
135	699	1614
136	704	1609
137	709	1604
138	714	1598
139	719	1592
140	725	1589
141	730	1584
142	735	1578
143	740	1573
144	746	1570
145	751	1564
146	756	1559
147	761	1553
148	766	1548
149	771	1542
150	776	1538
151	781	1532
152	786	1527
153	791	1521
154	797	1516
155	802	1511
156	807	1506
157	812	1501
158	817	1495
159	822	1490
160	827	1484
161	832	1480
162	838	1475
163	843	1470
164	848	1465
165	853	1459
166	858	1454
167	863	1449
168	868	1444
169	873	1439
170	878	1433
171	884	1428
172	888	1423
173	894	1418
174	899	1414
175	905	1409
176	910	1403
177	916	1400
178	923	1397
179	930	1395
180	937	1392
181	943	1389
182	949	1385
183	954	1380
184	959	1374
185	964	1369
186	969	1363
187	974	1358
188	979	1353
189	985	1347
190	990	1343
191	995	1337
192	1002	1334
193	1007	1329
194	1012	1324
195	1017	1319
196	1023	1313
197	1028	1308
198	1033	1303
199	1038	1298
200	1045	1294
201	1049	1289
202	1055	1284
203	1062	1281
204	1068	1276
205	1074	1272
206	1080	1268
207	1086	1263
208	1091	1258
209	1097	1254
210	1103	1249
211	1108	1244
212	1115	1240
213	1121	1236
214	1126	1231
215	1131	1226
216	1136	1220
217	1142	1215
218	1147	1210
219	1152	1204
220	1157	1199
221	1162	1193
222	1167	1188
223	1173	1183
224	1178	1178
225	1183	1173
