iter	Passed	Remaining
0	9	4402
1	15	3393
2	20	2988
3	25	2794
4	30	2711
5	35	2626
6	40	2571
7	45	2531
8	51	2525
9	56	2485
10	61	2464
11	66	2438
12	72	2429
13	77	2412
14	82	2383
15	87	2367
16	92	2358
17	97	2345
18	102	2333
19	107	2320
20	113	2315
21	118	2303
22	123	2288
23	129	2302
24	135	2295
25	140	2283
26	145	2280
27	150	2273
28	155	2264
29	161	2256
30	166	2245
31	171	2238
32	176	2230
33	181	2218
34	186	2212
35	191	2205
36	197	2200
37	202	2200
38	208	2196
39	213	2190
40	218	2181
41	224	2184
42	231	2187
43	237	2187
44	243	2189
45	249	2189
46	254	2185
47	260	2183
48	266	2182
49	272	2176
50	278	2176
51	283	2173
52	289	2167
53	294	2162
54	300	2157
55	305	2149
56	312	2151
57	317	2148
58	323	2145
59	329	2144
60	336	2147
61	343	2147
62	349	2148
63	354	2140
64	360	2133
65	365	2126
66	370	2116
67	375	2106
68	380	2099
69	385	2092
70	391	2088
71	396	2081
72	402	2076
73	407	2069
74	412	2064
75	418	2061
76	424	2054
77	429	2049
78	435	2043
79	440	2038
80	446	2036
81	453	2035
82	459	2031
83	466	2031
84	472	2028
85	478	2024
86	485	2025
87	490	2019
88	496	2015
89	502	2008
90	508	2005
91	514	2000
92	519	1994
93	525	1988
94	531	1984
95	536	1979
96	543	1976
97	549	1973
98	554	1966
99	560	1960
100	565	1954
101	571	1949
102	577	1945
103	585	1949
104	592	1946
105	598	1942
106	604	1936
107	610	1932
108	616	1928
109	622	1925
110	628	1920
111	634	1913
112	639	1908
113	645	1903
114	651	1896
115	656	1890
116	662	1885
117	667	1878
118	673	1872
119	678	1866
120	683	1859
121	689	1852
122	695	1847
123	700	1841
124	705	1835
125	711	1829
126	716	1822
127	721	1815
128	727	1809
129	732	1801
130	737	1796
131	742	1789
132	747	1782
133	753	1776
134	758	1769
135	763	1762
136	768	1756
137	773	1749
138	778	1742
139	783	1735
140	788	1728
141	794	1722
142	799	1715
143	804	1709
144	809	1703
145	814	1696
146	820	1690
147	825	1684
148	830	1677
149	836	1672
150	841	1665
151	846	1658
152	851	1653
153	857	1647
154	862	1641
155	868	1636
156	872	1629
157	878	1623
158	884	1618
159	889	1611
160	894	1605
161	899	1599
162	904	1593
163	910	1587
164	915	1581
165	920	1574
166	925	1568
167	931	1563
168	937	1558
169	942	1552
170	947	1546
171	953	1540
172	958	1534
173	963	1528
174	968	1522
175	973	1515
176	978	1509
177	984	1504
178	989	1498
179	995	1492
180	1000	1487
181	1005	1480
182	1010	1474
183	1016	1469
184	1021	1463
185	1027	1457
186	1032	1452
187	1037	1446
188	1042	1439
189	1047	1433
190	1053	1428
191	1058	1422
192	1064	1417
193	1069	1411
194	1074	1405
195	1080	1399
196	1084	1393
197	1090	1387
198	1095	1381
199	1100	1376
200	1106	1370
201	1111	1364
202	1116	1358
203	1122	1353
204	1127	1347
205	1133	1342
206	1138	1336
207	1143	1330
208	1149	1324
209	1154	1319
210	1159	1313
211	1164	1307
212	1169	1301
213	1174	1295
214	1180	1289
215	1185	1283
216	1190	1278
217	1195	1272
218	1200	1266
219	1206	1261
220	1211	1255
221	1217	1249
222	1222	1244
223	1227	1238
224	1232	1232
225	1237	1226
226	1242	1220
227	1248	1215
228	1253	1209
229	1258	1204
230	1263	1198
231	1269	1193
232	1275	1187
233	1280	1182
234	1286	1176
235	1291	1170
236	1296	1165
237	1301	1159
238	1306	1153
239	1312	1148
240	1317	1142
241	1322	1137
242	1328	1131
243	1333	1125
244	1338	1120
245	1344	1114
246	1348	1108
247	1354	1102
248	1359	1097
249	1364	1091
250	1370	1086
251	1375	1080
252	1380	1074
253	1385	1069
254	1390	1063
255	1395	1057
256	1401	1052
257	1406	1046
258	1412	1041
259	1417	1035
260	1422	1029
261	1427	1024
262	1432	1018
263	1437	1013
264	1443	1007
265	1448	1001
266	1454	996
267	1459	990
268	1464	985
269	1470	980
270	1475	974
271	1480	968
272	1485	963
273	1491	957
274	1496	952
275	1501	946
276	1506	940
277	1511	935
278	1516	929
279	1521	923
280	1526	918
281	1533	913
282	1538	907
283	1543	902
284	1548	896
285	1554	891
286	1559	885
287	1564	880
288	1569	874
289	1575	869
290	1580	863
291	1586	858
292	1591	853
293	1597	847
294	1602	842
295	1608	836
296	1613	831
297	1618	825
298	1623	819
299	1628	814
300	1634	808
301	1639	803
302	1644	797
303	1650	792
304	1655	787
305	1660	781
306	1665	775
307	1670	770
308	1675	764
309	1680	759
310	1685	753
311	1691	748
312	1696	742
313	1701	736
314	1706	731
315	1712	726
316	1717	720
317	1722	715
318	1728	709
319	1733	704
320	1738	698
321	1743	693
322	1748	687
323	1754	682
324	1759	676
325	1764	671
326	1770	665
327	1775	660
328	1780	655
329	1786	649
330	1791	644
331	1797	638
332	1802	633
333	1807	627
334	1813	622
335	1818	616
336	1823	611
337	1828	605
338	1833	600
339	1839	595
340	1845	589
341	1850	584
342	1856	579
343	1861	573
344	1866	568
345	1871	562
346	1876	557
347	1881	551
348	1887	546
349	1892	540
350	1897	535
351	1902	529
352	1907	524
353	1912	518
354	1918	513
355	1923	507
356	1928	502
357	1933	496
358	1938	491
359	1943	485
360	1948	480
361	1954	475
362	1959	469
363	1964	464
364	1969	458
365	1974	453
366	1979	447
367	1984	442
368	1989	436
369	1995	431
370	2000	425
371	2005	420
372	2010	415
373	2015	409
374	2021	404
375	2026	398
376	2031	393
377	2036	387
378	2042	382
379	2047	377
380	2052	371
381	2058	366
382	2063	361
383	2069	355
384	2074	350
385	2079	344
386	2084	339
387	2090	333
388	2095	328
389	2100	323
390	2105	317
391	2110	312
392	2115	306
393	2120	301
394	2125	296
395	2131	290
396	2137	285
397	2142	279
398	2147	274
399	2153	269
400	2158	263
401	2163	258
402	2169	252
403	2173	247
404	2179	242
405	2184	236
406	2189	231
407	2195	225
408	2200	220
409	2205	215
410	2211	209
411	2216	204
412	2221	199
413	2227	193
414	2232	188
415	2238	182
416	2243	177
417	2249	172
418	2253	166
419	2259	161
420	2263	155
421	2268	150
422	2274	145
423	2280	139
424	2285	134
425	2290	129
426	2296	123
427	2301	118
428	2306	112
429	2312	107
430	2317	102
431	2322	96
432	2327	91
433	2333	86
434	2338	80
435	2343	75
436	2349	69
437	2355	64
438	2360	59
439	2365	53
440	2370	48
441	2375	42
442	2380	37
443	2385	32
444	2391	26
445	2396	21
446	2401	16
447	2406	10
448	2411	5
449	2417	0
