iter	Passed	Remaining
0	7	3155
1	12	2877
2	18	2706
3	23	2624
4	28	2579
5	34	2542
6	39	2513
7	44	2481
8	50	2482
9	56	2467
10	61	2445
11	65	2408
12	71	2412
13	76	2385
14	82	2380
15	87	2361
16	91	2343
17	97	2338
18	102	2320
19	107	2303
20	112	2289
21	116	2270
22	121	2251
23	126	2237
24	130	2225
25	135	2213
26	141	2216
27	146	2205
28	152	2207
29	156	2193
30	161	2182
31	166	2168
32	170	2156
33	175	2146
34	180	2135
35	185	2128
36	190	2121
37	195	2116
38	199	2106
39	204	2100
40	209	2089
41	214	2080
42	219	2073
43	224	2070
44	229	2062
45	233	2054
46	238	2047
47	243	2040
48	248	2032
49	253	2026
50	258	2019
51	262	2011
52	267	2004
53	272	1996
54	276	1989
55	281	1981
56	287	1979
57	291	1972
58	296	1967
59	301	1960
60	307	1958
61	312	1954
62	316	1947
63	321	1940
64	326	1935
65	331	1929
66	336	1921
67	340	1914
68	346	1911
69	350	1904
70	355	1898
71	360	1893
72	365	1887
73	370	1881
74	375	1875
75	379	1868
76	384	1862
77	389	1855
78	393	1849
79	398	1843
80	403	1838
81	408	1832
82	413	1827
83	418	1821
84	422	1816
85	427	1810
86	432	1804
87	437	1799
88	442	1793
89	446	1787
90	451	1781
91	457	1779
92	462	1774
93	466	1767
94	471	1762
95	476	1757
96	481	1752
97	486	1746
98	490	1740
99	495	1733
100	500	1727
101	505	1722
102	510	1718
103	515	1714
104	520	1710
105	525	1706
106	532	1705
107	538	1704
108	544	1703
109	550	1701
110	556	1698
111	561	1693
112	566	1689
113	571	1683
114	576	1679
115	581	1673
116	586	1670
117	591	1665
118	597	1661
119	602	1657
120	608	1655
121	613	1650
122	618	1644
123	623	1639
124	628	1634
125	633	1629
126	638	1623
127	643	1618
128	648	1612
129	652	1606
130	657	1601
131	662	1595
132	667	1589
133	671	1584
134	676	1579
135	681	1574
136	686	1569
137	691	1563
138	696	1558
139	701	1553
140	706	1548
141	711	1543
142	716	1539
143	721	1533
144	726	1528
145	731	1522
146	736	1517
147	741	1512
148	745	1506
149	751	1503
150	756	1497
151	761	1492
152	766	1487
153	771	1482
154	776	1477
155	781	1472
156	786	1468
157	791	1463
158	796	1458
159	802	1454
160	809	1453
161	816	1450
162	822	1447
163	828	1444
