iter	Passed	Remaining
0	7	3385
1	13	3030
2	19	2930
3	24	2781
4	30	2686
5	36	2673
6	40	2593
7	46	2550
8	51	2536
9	56	2495
10	61	2471
11	67	2460
12	72	2443
13	78	2436
14	83	2430
15	88	2408
16	94	2400
17	99	2390
18	104	2380
19	110	2374
20	116	2371
21	121	2354
22	126	2346
23	131	2334
24	136	2326
25	143	2332
26	148	2327
27	153	2316
28	159	2308
29	163	2294
30	169	2284
31	174	2277
32	179	2267
33	184	2262
34	189	2252
35	195	2244
36	200	2240
37	206	2235
38	211	2226
39	216	2221
40	221	2212
41	227	2207
42	233	2208
43	239	2206
44	244	2199
45	250	2198
46	256	2200
47	261	2192
48	267	2185
49	272	2178
50	277	2170
51	283	2168
52	288	2163
53	293	2154
54	299	2150
55	304	2141
56	310	2137
57	315	2133
58	320	2125
59	325	2116
60	331	2112
61	336	2104
62	341	2097
63	347	2094
64	352	2089
65	358	2086
66	364	2084
67	369	2076
68	374	2070
69	380	2063
70	385	2056
71	390	2049
72	395	2043
73	400	2035
74	406	2031
75	411	2024
76	416	2017
77	421	2012
78	427	2005
79	432	1998
80	437	1993
81	442	1987
82	448	1983
83	454	1978
84	459	1974
85	465	1969
86	471	1965
87	476	1958
88	481	1951
89	486	1947
90	492	1942
91	497	1936
92	502	1930
93	507	1923
94	513	1918
95	518	1912
96	523	1905
97	529	1900
98	534	1894
99	539	1887
100	544	1881
101	550	1878
102	555	1872
103	561	1868
104	567	1865
105	573	1861
106	579	1858
107	585	1853
108	590	1846
109	595	1841
110	602	1838
111	607	1832
112	612	1826
113	617	1821
114	622	1814
115	628	1809
116	633	1803
117	638	1796
118	643	1791
119	648	1784
120	654	1779
121	659	1773
122	664	1767
123	670	1761
124	675	1756
125	680	1749
126	686	1744
127	691	1740
128	696	1734
129	702	1728
130	707	1722
131	712	1716
132	717	1710
133	722	1704
134	728	1698
135	733	1694
136	739	1688
137	744	1683
138	749	1677
139	755	1671
140	760	1666
141	765	1661
142	771	1655
143	776	1650
144	781	1644
145	787	1638
146	792	1633
147	797	1627
148	802	1622
149	808	1616
150	814	1612
151	819	1606
152	825	1602
153	830	1595
154	835	1590
155	841	1585
156	847	1580
157	852	1575
158	857	1569
159	862	1563
160	867	1557
161	873	1552
162	877	1545
163	883	1539
164	888	1534
165	893	1528
166	899	1524
167	904	1518
168	909	1512
169	915	1507
170	920	1502
171	926	1497
172	931	1491
173	936	1485
174	941	1479
175	946	1473
176	951	1467
177	957	1462
178	962	1457
179	967	1451
180	972	1445
181	977	1440
182	983	1434
183	988	1428
184	993	1423
185	998	1417
186	1004	1412
187	1009	1406
188	1014	1400
189	1019	1394
190	1024	1389
191	1030	1384
192	1035	1378
193	1041	1374
194	1047	1369
195	1053	1365
196	1059	1361
197	1066	1356
198	1071	1352
199	1078	1348
200	1085	1345
201	1091	1340
202	1098	1336
203	1105	1332
204	1111	1327
205	1116	1322
206	1123	1318
207	1129	1313
208	1135	1308
209	1140	1303
210	1147	1299
211	1153	1294
212	1159	1289
213	1164	1284
214	1171	1280
215	1177	1275
216	1183	1270
217	1189	1266
218	1196	1261
219	1202	1256
220	1208	1251
221	1213	1246
222	1219	1241
223	1225	1236
224	1231	1231
225	1237	1226
226	1243	1221
227	1249	1216
228	1256	1212
229	1262	1207
230	1269	1203
231	1278	1200
232	1289	1200
233	1300	1200
234	1311	1199
235	1319	1196
236	1324	1190
237	1330	1184
238	1336	1180
239	1344	1176
240	1351	1171
241	1357	1166
242	1363	1161
243	1369	1155
244	1374	1149
245	1379	1143
246	1385	1138
247	1390	1132
248	1395	1126
249	1400	1120
250	1405	1114
251	1411	1109
252	1417	1103
253	1422	1097
254	1427	1091
255	1433	1086
256	1438	1080
257	1443	1074
258	1449	1068
259	1454	1062
260	1460	1057
261	1465	1051
262	1470	1045
263	1475	1039
264	1481	1034
265	1486	1028
266	1492	1022
267	1497	1016
268	1502	1010
269	1507	1005
270	1512	999
271	1517	993
272	1523	987
273	1528	981
274	1533	976
275	1539	970
276	1544	964
277	1549	958
278	1554	952
279	1560	947
280	1565	941
281	1570	935
282	1575	929
283	1581	924
284	1587	918
285	1592	913
286	1597	907
287	1602	901
288	1607	895
289	1612	889
290	1618	884
291	1623	878
292	1628	872
293	1634	867
294	1640	861
295	1645	855
296	1650	850
297	1655	844
298	1661	839
299	1666	833
300	1672	827
301	1678	822
302	1683	816
303	1688	811
304	1694	805
305	1699	799
306	1705	794
307	1711	789
308	1716	783
309	1722	777
310	1727	772
311	1732	766
312	1738	760
313	1743	755
314	1748	749
315	1754	743
316	1760	738
317	1766	733
318	1772	727
319	1777	722
320	1782	716
321	1787	710
322	1793	705
323	1798	699
324	1804	693
325	1809	688
326	1814	682
327	1820	677
328	1825	671
329	1830	665
330	1836	660
331	1841	654
332	1846	648
333	1852	643
334	1857	637
335	1862	631
336	1867	626
337	1872	620
338	1878	615
339	1883	609
340	1889	603
341	1894	598
342	1899	592
343	1905	587
344	1910	581
345	1915	575
346	1920	570
347	1926	564
348	1931	558
349	1936	553
350	1941	547
351	1946	542
352	1952	536
353	1958	531
354	1963	525
355	1969	520
356	1974	514
357	1980	508
358	1985	503
359	1990	497
360	1995	492
361	2000	486
362	2006	480
363	2011	475
364	2016	469
365	2021	463
366	2026	458
367	2032	452
368	2037	447
369	2043	441
370	2048	436
371	2053	430
372	2059	425
373	2064	419
374	2069	413
375	2075	408
376	2080	402
377	2086	397
378	2092	391
379	2097	386
380	2102	380
381	2107	375
382	2113	369
383	2118	364
384	2123	358
385	2128	352
386	2134	347
387	2139	341
388	2144	336
389	2149	330
390	2155	325
391	2160	319
392	2165	314
393	2170	308
394	2176	303
395	2182	297
396	2187	292
397	2192	286
398	2198	280
399	2203	275
400	2208	269
401	2213	264
402	2219	258
403	2225	253
404	2230	247
405	2235	242
406	2241	236
407	2246	231
408	2251	225
409	2257	220
410	2263	214
411	2268	209
412	2274	203
413	2279	198
414	2284	192
415	2289	187
416	2294	181
417	2299	176
418	2305	170
419	2310	165
420	2315	159
421	2321	154
422	2326	148
423	2332	143
424	2338	137
425	2344	132
426	2349	126
427	2356	121
428	2361	115
429	2366	110
430	2372	104
431	2377	99
432	2382	93
433	2388	88
434	2394	82
435	2399	77
436	2405	71
437	2410	66
438	2415	60
439	2420	55
440	2425	49
441	2431	44
442	2436	38
443	2442	33
444	2447	27
445	2453	22
446	2458	16
447	2463	10
448	2469	5
449	2473	0
