iter	RMSE
0	0.9720237084
1	0.957315877
2	0.9419854677
3	0.9283183319
4	0.9107715114
5	0.8950238228
6	0.8834937585
7	0.8709154951
8	0.8576057862
9	0.8437405815
10	0.8306136456
11	0.817720289
12	0.8049894857
13	0.7929195092
14	0.779694306
15	0.7662198221
16	0.7543143807
17	0.7425271214
18	0.7317705278
19	0.7220370811
20	0.712783581
21	0.7016480873
22	0.690391979
23	0.6822429756
24	0.6741557637
25	0.666139913
26	0.6572147217
27	0.6489661617
28	0.638765516
29	0.6296238334
30	0.6207809389
31	0.6142594201
32	0.605847054
33	0.5982101741
34	0.5898496581
35	0.5826480496
36	0.5755138779
37	0.5679429391
38	0.5610928774
39	0.5533648442
40	0.5466477403
41	0.540466315
42	0.534012788
43	0.5292801727
44	0.5233173492
45	0.5179613509
46	0.5118383098
47	0.5052345268
48	0.4995708865
49	0.4940235728
50	0.4885919913
51	0.4833424015
52	0.4785676186
53	0.4722160019
54	0.4667218952
55	0.4633119864
56	0.4573669486
57	0.4519515708
58	0.4478992843
59	0.4435991838
60	0.4382354253
61	0.4322540758
62	0.4275147738
63	0.4234331
64	0.4201036263
65	0.4161720515
66	0.4113165012
67	0.4071497843
68	0.4032705294
69	0.399559096
70	0.3957566975
71	0.3919126778
72	0.3885376749
73	0.3847602017
74	0.3806729992
75	0.3771702248
76	0.373770636
77	0.3699854485
78	0.367164107
79	0.36373115
80	0.3601056155
81	0.3561723586
82	0.3532436276
83	0.3498338572
84	0.3475708369
85	0.3448072934
86	0.3417327257
87	0.3397613519
88	0.336130554
89	0.3331327683
90	0.3301543514
91	0.3273813569
92	0.3245927051
93	0.3226254528
94	0.3197126328
95	0.3172338488
96	0.3146544379
97	0.3134521665
98	0.311096851
99	0.3098365418
100	0.3078005716
101	0.305655905
102	0.30392412
103	0.3013832536
104	0.3003503968
105	0.29862732
106	0.2968783016
107	0.2952514332
108	0.2929244588
109	0.2924325767
110	0.2900400637
111	0.2875017656
112	0.2850261302
113	0.2828185291
114	0.2808050207
115	0.2788559015
116	0.2779990613
117	0.2761376611
118	0.2744287095
119	0.2720905448
120	0.2707218705
121	0.2688570452
122	0.2672584215
123	0.264869708
124	0.2634663021
125	0.2616725631
126	0.2599086477
127	0.2588869886
128	0.2578128051
129	0.2561413489
130	0.2549685144
131	0.2542581893
132	0.2524546353
133	0.2514132484
134	0.249789695
135	0.2482524947
136	0.2462834642
137	0.2449559713
138	0.2433430313
139	0.2415348942
140	0.2409043803
141	0.240312573
142	0.2391631848
143	0.2373301546
144	0.2350801898
145	0.2328614225
146	0.2308121478
147	0.2288994832
148	0.2285362315
149	0.2280860155
150	0.2266368933
151	0.2247266327
152	0.2228199188
153	0.2213092264
154	0.2203618982
155	0.2188451194
156	0.2168006582
157	0.214837853
158	0.2143358448
159	0.2139289822
160	0.2121698394
161	0.2102525262
162	0.2090244078
163	0.2075287869
164	0.2066825252
165	0.2048992403
166	0.2039285285
167	0.2028812534
168	0.2025667901
169	0.2022857791
170	0.2007171597
171	0.1997301622
172	0.1985487673
173	0.1972341471
174	0.195806438
175	0.1954126364
176	0.1944989292
177	0.1931760729
178	0.1928915182
179	0.1923304003
180	0.191607462
181	0.1912748059
182	0.1907829871
183	0.1892672273
184	0.1889032301
185	0.1876315508
