target,ad_bin,n,mae,r2
tg,ge_0.9,1317,14.801020485567374,0.9623070354426274
tg,0.7-0.9,1596,19.508589292633825,0.9312898848983602
tg,0.5-0.7,920,29.404026026278324,0.8312519310251228
tg,lt_0.5,310,43.57809894319689,0.6338950547450901
egc,ge_0.9,475,0.16903920269237036,0.9715790666252112
egc,0.7-0.9,409,0.26924007942461153,0.930488441586605
egc,0.5-0.7,719,0.35556054041231516,0.8828511104422299
egc,lt_0.5,425,0.5325203299929747,0.7940532380741784
egb,ge_0.9,6,0.30640224711698744,0.6289722355723759
egb,0.7-0.9,34,0.40665691806500215,0.9428078891725722
egb,0.5-0.7,170,0.3919327742340466,0.8896783041311972
egb,lt_0.5,127,0.6496488253166849,0.8086818689656717
ei,ge_0.9,0,,
ei,0.7-0.9,15,0.2818424902838499,0.4135324496170081
ei,0.5-0.7,140,0.30219943689162665,0.803337981786641
ei,lt_0.5,67,0.47193642425553234,0.7542440788167035
eea,ge_0.9,6,0.1946047486245092,0.8832195439094636
eea,0.7-0.9,16,0.27717582341460134,0.8187665566274591
eea,0.5-0.7,141,0.31126695958186307,0.846927087876536
eea,lt_0.5,58,0.35995731618615795,0.8567825451941808
nc,ge_0.9,4,,
nc,0.7-0.9,22,0.09520732505131936,0.7497831811048492
nc,0.5-0.7,134,0.07014569882123488,0.7608669233411813
nc,lt_0.5,69,0.05917169609869779,0.7438567793572896
eps,ge_0.9,2,,
eps,0.7-0.9,15,0.37059432238173,0.5387720371080607
eps,0.5-0.7,150,0.40217716083434785,0.7286339334474804
eps,lt_0.5,62,0.3166594963908326,0.72805443268168
