target,nominal_coverage,empirical_coverage,interval_halfwidth,n_calibration,n_validation
tg,0.8,0.8013516775283611,33.15021904789112,3314,4143
tg,0.9,0.8991069273473329,49.14114661871936,3314,4143
tg,0.95,0.9497948346608738,68.42710395173702,3314,4143
egc,0.8,0.7998027613412229,0.5098402640358777,1622,2028
egc,0.9,0.8999013806706114,0.7542742904327546,1622,2028
egc,0.95,0.9506903353057199,0.9948965458907579,1622,2028
egb,0.8,0.7952522255192879,0.7507946484461706,224,337
egb,0.9,0.9080118694362018,1.0255306765077252,224,337
egb,0.95,0.9584569732937686,1.3825930473356305,224,337
ei,0.8,0.7972972972972973,0.5501588971708015,148,222
ei,0.9,0.9144144144144144,0.8549022274006935,148,222
ei,0.95,0.9459459459459459,0.9920007340027782,148,222
eea,0.8,0.8235294117647058,0.4997173505971502,147,221
eea,0.9,0.9004524886877828,0.6563096944137254,147,221
eea,0.95,0.9592760180995475,0.8670969075376894,147,221
nc,0.8,0.8078602620087336,0.1044916335179578,152,229
nc,0.9,0.9039301310043668,0.18571702594785736,152,229
nc,0.95,0.9563318777292577,0.2611419078503456,152,229
eps,0.8,0.8165938864628821,0.572992237058032,152,229
eps,0.9,0.9082969432314411,0.883710078315651,152,229
eps,0.95,0.9606986899563319,1.2231859641786222,152,229
