target,frac_masked,k,r2_baseline,r2_top_shap,r2_random,drop_top_shap,drop_random
tg,0.01,11,0.9940561813114263,0.43009618275071515,0.9928882043312985,0.5639599985607111,0.0011679769801277162
tg,0.05,57,0.9940561813114263,0.15153591973466463,0.9753881100182628,0.8425202615767616,0.018668071293163502
tg,0.1,114,0.9940561813114263,0.03340386948561236,0.9676045894149459,0.9606523118258139,0.026451591896480386
tg,0.2,228,0.9940561813114263,-0.02517255199937507,0.9357207621898971,1.0192287333108014,0.058335419121529175
egc,0.01,11,0.9983110163924972,0.4122545617017478,0.9982379797502355,0.5860564546907494,7.303664226165907e-05
egc,0.05,57,0.9983110163924972,0.09710668287026147,0.9938278937547183,0.9012043335222357,0.004483122637778947
egc,0.1,114,0.9983110163924972,0.03078879898012643,0.9664507828223864,0.9675222174123708,0.03186023357011081
egc,0.2,228,0.9983110163924972,-0.004286407017065841,0.8618698670345228,1.0025974234095631,0.13644114935797436
egb,0.01,11,0.9998494252968037,0.17631392718618044,0.9998494252968037,0.8235354981106232,0.0
egb,0.05,57,0.9998494252968037,-0.1987471943420558,0.9975176666280192,1.1985966196388596,0.002331758668784434
egb,0.1,114,0.9998494252968037,-0.3160162438444314,0.9986244380411808,1.315865669141235,0.0012249872556228114
egb,0.2,228,0.9998494252968037,-0.3134404808843385,0.6862049570855215,1.3132899061811423,0.3136444682112821
ei,0.01,11,0.9998299170663607,0.23248033619939545,0.9995111005263634,0.7673495808669653,0.0003188165399973242
ei,0.05,57,0.9998299170663607,-0.05376556495462492,0.9954400130062804,1.0535954820209856,0.00438990406008033
ei,0.1,114,0.9998299170663607,-0.1387305001342407,0.9630061678603934,1.1385604172006014,0.036823749205967315
ei,0.2,228,0.9998299170663607,-0.13939102435169226,0.5333882415535471,1.139220941418053,0.46644167551281357
eea,0.01,11,0.9999863309924698,0.21389045809033203,0.999822548072999,0.7860958729021378,0.000163782919470834
eea,0.05,57,0.9999863309924698,-0.24237671930266447,0.9646120253721002,1.2423630502951344,0.035374305620369584
eea,0.1,114,0.9999863309924698,-0.3648397733244111,0.9492596138276242,1.3648261043168808,0.05072671716484556
eea,0.2,228,0.9999863309924698,-0.3769241561395713,0.8759879033017386,1.376910487132041,0.12399842769073122
nc,0.01,11,0.9998088590236095,0.5238218344333112,0.9997629764681504,0.4759870245902983,4.588255545912023e-05
nc,0.05,57,0.9998088590236095,0.057905372825409085,0.9908958528090839,0.9419034861982004,0.00891300621452562
nc,0.1,114,0.9998088590236095,0.017784831879792518,0.9842586375728098,0.982024027143817,0.01555022145079965
nc,0.2,228,0.9998088590236095,-0.000313187208788257,0.9217514223805324,1.0001220462323976,0.07805743664307707
eps,0.01,11,0.9998164677866477,0.34752468149174165,0.999809387161618,0.652291786294906,7.080625029631804e-06
eps,0.05,57,0.9998164677866477,-0.15469152200833824,0.995305524493844,1.154507989794986,0.00451094329280366
eps,0.1,114,0.9998164677866477,-0.35465078481453993,0.9654202488556595,1.3544672526011876,0.03439621893098821
eps,0.2,228,0.9998164677866477,-0.37718546950115894,0.7696101436415599,1.3770019372878066,0.2302063241450878
