model,layer,concept,probe_r2
tg,1,aromatic_fraction,0.8196661472320557
tg,1,rotatable_fraction,0.7741475105285645
tg,1,polar_fraction,0.45705145597457886
tg,1,molecular_weight,0.8788608312606812
tg,2,aromatic_fraction,0.7815807461738586
tg,2,rotatable_fraction,0.7701506018638611
tg,2,polar_fraction,0.36054104566574097
tg,2,molecular_weight,0.8213893175125122
egc,1,aromatic_fraction,0.7489625811576843
egc,1,rotatable_fraction,0.7236137390136719
egc,1,polar_fraction,0.3480362892150879
egc,1,molecular_weight,0.8373203873634338
egc,2,aromatic_fraction,0.6712518334388733
egc,2,rotatable_fraction,0.5721045732498169
egc,2,polar_fraction,0.08806318044662476
egc,2,molecular_weight,0.6230364441871643
eps,1,aromatic_fraction,0.7161009311676025
eps,1,rotatable_fraction,-0.3253270387649536
eps,1,polar_fraction,0.6487735509872437
eps,1,molecular_weight,0.8218696117401123
eps,2,aromatic_fraction,0.3689989447593689
eps,2,rotatable_fraction,-0.941186785697937
eps,2,polar_fraction,0.39682090282440186
eps,2,molecular_weight,0.6469494104385376
