target,,feature,importance,family
tg,0,rotatable_frac,40.41771633207063,poly
tg,1,RingCount,16.937652238082087,desc
tg,2,rigidity_index,10.46376486145667,poly
tg,3,VSA_EState4,4.434110731631899,desc
tg,4,NumHDonors,3.655304161720335,desc
tg,5,HallKierAlpha,3.6546080066950815,desc
tg,6,char_svd_3,3.3893604747338935,char
tg,7,char_svd_1,2.6478278184997173,char
tg,8,morgan_695,2.6158888565268743,morgan
tg,9,BertzCT,2.44461516550297,desc
tg,10,char_svd_5,2.313273270257296,char
tg,11,morgan_80,2.2822327515705783,morgan
tg,12,morgan_356,2.2604201357161204,morgan
tg,13,morgan_128,2.258791575774483,morgan
tg,14,Kappa3,2.203062719301351,desc
tg,15,TPSA,2.2007889610892244,desc
tg,16,morgan_891,2.143255287432132,morgan
tg,17,char_svd_7,2.1023125351473793,char
tg,18,NumRotatableBonds,2.057069914677366,desc
tg,19,char_svd_2,1.7810678238888515,char
egc,0,morgan_356,0.3319503936274016,morgan
egc,1,FractionCSP3,0.32319663445746877,desc
egc,2,SMR_VSA7,0.1674128196177929,desc
egc,3,aromatic_frac,0.1173981670706979,poly
egc,4,morgan_664,0.0923533449793909,morgan
egc,5,char_svd_1,0.0786254791249362,char
egc,6,rigidity_index,0.0740874527699671,poly
egc,7,morgan_247,0.05943045381462666,morgan
egc,8,EState_VSA8,0.05142860271105797,desc
egc,9,char_svd_11,0.04429073097663368,char
egc,10,char_svd_0,0.0418446589931062,char
egc,11,char_svd_24,0.04042239586921588,char
egc,12,char_svd_2,0.033360418974976,char
egc,13,BertzCT,0.032605200191219194,desc
egc,14,morgan_849,0.03254627914460656,morgan
egc,15,morgan_162,0.031274359960532565,morgan
egc,16,char_svd_27,0.030385266363331255,char
egc,17,MolMR,0.0294837945848331,desc
egc,18,qed,0.02730130053475023,desc
egc,19,char_svd_4,0.02643472141468266,char
egb,0,FractionCSP3,0.6485975200422434,desc
egb,1,char_svd_24,0.24079752026098958,char
egb,2,aromatic_frac,0.17664226978825245,poly
egb,3,char_svd_30,0.1324314626521729,char
egb,4,SMR_VSA7,0.11664466570338618,desc
egb,5,morgan_97,0.0874233826989161,morgan
egb,6,NumAromaticRings,0.08700564552227838,desc
egb,7,morgan_356,0.05917012349771838,morgan
egb,8,char_svd_2,0.058414709697390974,char
egb,9,EState_VSA8,0.05132636484603789,desc
egb,10,morgan_110,0.04971117473621673,morgan
egb,11,char_svd_36,0.049008561875126574,char
egb,12,char_svd_32,0.04458654765128526,char
egb,13,char_svd_29,0.041336669741554186,char
egb,14,char_svd_9,0.035978965464596405,char
egb,15,char_svd_27,0.034727915022696676,char
egb,16,MolMR,0.03296282815896305,desc
egb,17,rigidity_index,0.0316861581559531,poly
egb,18,morgan_650,0.030647020826422382,morgan
egb,19,char_svd_61,0.027751787936446965,char
ei,0,SMR_VSA1,0.2100454645768483,desc
ei,1,BalabanJ,0.12218151126101352,desc
ei,2,char_svd_2,0.11743458249500102,char
ei,3,char_svd_11,0.07641175536212506,char
ei,4,MinEStateIndex,0.06173198536999636,desc
ei,5,MolMR,0.05455574465916545,desc
ei,6,EState_VSA5,0.05291245524160633,desc
ei,7,EState_VSA8,0.05130802638936637,desc
ei,8,halogen_frac,0.04955897474982533,poly
ei,9,char_svd_6,0.044814146026850174,char
ei,10,MaxEStateIndex,0.03540057693856689,desc
ei,11,char_svd_1,0.029753660214865082,char
ei,12,SlogP_VSA5,0.026851775833854993,desc
ei,13,char_svd_37,0.021905480817030337,char
ei,14,char_svd_35,0.021563305646164977,char
ei,15,char_svd_16,0.021055391998528603,char
ei,16,char_svd_25,0.019569596910190445,char
ei,17,EState_VSA1,0.019466303772651877,desc
ei,18,SlogP_VSA2,0.018925415897668846,desc
ei,19,qed,0.01621016078631966,desc
eea,0,morgan_97,0.25337934882733754,morgan
eea,1,morgan_110,0.21104876361191297,morgan
eea,2,morgan_80,0.10668047812576296,morgan
eea,3,char_svd_15,0.09354440980980605,char
eea,4,MaxEStateIndex,0.06867948640281545,desc
