target,model_a,model_b,spearman
tg,ridge,et,0.5373452136016567
tg,ridge,lgbm,0.326306051631417
tg,et,lgbm,0.4498986808815397
egc,ridge,et,0.5269776357233893
egc,ridge,lgbm,0.3651704466571152
egc,et,lgbm,0.44216128135687666
egb,ridge,et,0.579992813121267
egb,ridge,lgbm,0.3357144954098443
egb,et,lgbm,0.5102693681849406
ei,ridge,et,0.6263069392350237
ei,ridge,lgbm,0.3702749984843758
ei,et,lgbm,0.5395606808000444
eea,ridge,et,0.595621668094682
eea,ridge,lgbm,0.33115850804889896
eea,et,lgbm,0.468146155505746
nc,ridge,et,0.6780081147040068
nc,ridge,lgbm,0.3282298589817995
nc,et,lgbm,0.46335643904746415
eps,ridge,et,0.6892429533967872
eps,ridge,lgbm,0.31129862020152804
eps,et,lgbm,0.4416486078651461
