target,ad_bin,n,mae,r2
tg,ge_0.9,1290,15.16515415609447,0.9607733811085141
tg,0.7-0.9,1581,20.31200062281161,0.9277682676706458
tg,0.5-0.7,924,30.62376867619791,0.8232940199182341
tg,lt_0.5,348,44.76123024005136,0.6318058227895693
egc,ge_0.9,468,0.17332870063043646,0.9713177236832882
egc,0.7-0.9,406,0.2968912734438151,0.9139195997707766
egc,0.5-0.7,681,0.3819838823438725,0.8729140780742467
egc,lt_0.5,473,0.5610737686589794,0.7741529721442488
egb,0.7-0.9,34,0.4218918470130074,0.9368522210552345
egb,0.5-0.7,150,0.4017798095023944,0.8928344950577731
egb,lt_0.5,147,0.6061727215897352,0.8259255055659492
ei,0.7-0.9,15,0.27772444154410425,0.49803991824031546
ei,0.5-0.7,122,0.2838245842268439,0.8053108882300306
ei,lt_0.5,85,0.4459078892370776,0.7814139390381715
eea,0.7-0.9,16,0.20045624163917114,0.8924253585257232
eea,0.5-0.7,123,0.2882940963183048,0.8910515116680117
eea,lt_0.5,76,0.42585411467611595,0.8006249369462075
nc,0.7-0.9,21,0.10078125652961248,0.7154764597753493
nc,0.5-0.7,115,0.07668855112846504,0.723822637894387
nc,lt_0.5,89,0.05387171564502965,0.7751792881728691
eps,0.7-0.9,15,0.26721225484369315,0.8052821144453264
eps,0.5-0.7,129,0.4398804598697606,0.6800390086909551
eps,lt_0.5,83,0.35990556776407917,0.712711545574866
