target,nominal,empirical,halfwidth,n_cal,n_val,delta
tg,0.8,0.8171731789676797,36.22830547933889,2070,2073,0.01717317896767967
tg,0.9,0.914616497829233,54.38125984568732,2070,2073,0.014616497829233022
tg,0.95,0.9561022672455378,72.82890696008084,2070,2073,0.006102267245537862
egc,0.8,0.7869822485207101,0.5444832538141988,1014,1014,-0.013017751479289963
egc,0.9,0.8875739644970414,0.764285095421449,1014,1014,-0.012426035502958621
egc,0.95,0.9289940828402367,0.9769808691753135,1014,1014,-0.0210059171597633
egb,0.8,0.7751479289940828,0.7230660649301808,168,169,-0.024852071005917242
egb,0.9,0.8816568047337278,0.9810413890458318,168,169,-0.01834319526627226
egb,0.95,0.9408284023668639,1.3282965038434487,168,169,-0.00917159763313602
ei,0.8,0.7117117117117117,0.5104404879962283,111,111,-0.08828828828828839
ei,0.9,0.8288288288288288,0.6378536168073836,111,111,-0.07117117117117122
ei,0.95,0.918918918918919,0.8351501374395882,111,111,-0.031081081081080986
eea,0.8,0.8558558558558559,0.5302275029787085,110,111,0.05585585585585584
eea,0.9,0.8918918918918919,0.6122086397753171,110,111,-0.008108108108108136
eea,0.95,0.954954954954955,0.8640574841931394,110,111,0.004954954954955015
nc,0.8,0.8695652173913043,0.11493942530716758,114,115,0.06956521739130428
nc,0.9,0.9652173913043478,0.22176217601406817,114,115,0.06521739130434778
nc,0.95,0.9826086956521739,0.32540791888404025,114,115,0.03260869565217395
eps,0.8,0.7478260869565218,0.5424027645773197,114,115,-0.05217391304347829
eps,0.9,0.8695652173913043,0.7200229555576788,114,115,-0.0304347826086957
eps,0.95,0.9130434782608695,0.9334684392012459,114,115,-0.036956521739130443
