target,bucket,r2,mae,rmse,n
tg,bottom_10,-1.111705983349327,26.752314102833193,41.79325367376708,416
tg,middle_80,0.8436953225747525,21.429205899685943,31.294415650212567,3312
tg,top_10,-0.569426789501198,32.40264968634532,44.3106651880728,415
egc,bottom_10,-2.1664891598345415,0.7171535807968261,1.0271953505998916,203
egc,middle_80,0.8607849950673789,0.3117278294504354,0.4393488524328688,1622
egc,top_10,0.05590461033468885,0.37423590687066804,0.5374717812367525,203
egb,bottom_10,-10.704524531334021,0.87968300726594,1.2243769086435503,34
egb,middle_80,0.8691756845075663,0.3943370616304437,0.5213368984620087,269
egb,top_10,-0.6712269160247379,0.8722742469644684,1.0769783884252528,34
ei,bottom_10,-4.7845880148827185,0.5290036583914145,0.6740296214962435,23
ei,middle_80,0.6568771196825165,0.2953004275816221,0.38345787885704435,176
ei,top_10,-0.35907839071659664,0.5458555255052212,0.6393427347135037,23
eea,bottom_10,-20.19171759579651,0.404391981583012,0.5050895353302325,23
eea,middle_80,0.7780725476895324,0.2935392502345314,0.38726011427122686,175
eea,top_10,-1.2235936004346044,0.4883095627379217,0.5623117266397927,23
nc,bottom_10,-9.017930177995593,0.0502530852244047,0.08819624991866272,23
nc,middle_80,0.7260692235626334,0.057434832980739724,0.07826896284375408,183
nc,top_10,-1.527130515722538,0.19640704168695808,0.23203935109432836,23
eps,bottom_10,-1.6455473467792325,0.26918086605597713,0.3259892427239592,23
eps,middle_80,0.6633590143670727,0.3170602981699019,0.4043618602919119,183
eps,top_10,-2.1415197348635644,1.153001054811166,1.393122148985608,23
