target,regime,mean_r2,n_folds
tg,G0_random,0.8943813648340404,5
tg,G1_canonical_group,0.8963133957263919,5
tg,G2_scaffold,0.8257908042744507,5
tg,G3_family,-0.4120243201107532,2
tg,G4_low_sim_0.6,0.6208997265225826,1
tg,G5_ultra_low_0.4,0.5623055077970809,1
egc,G0_random,0.8758501697872866,5
egc,G1_canonical_group,0.8839381625384313,5
egc,G2_scaffold,0.6978293743465033,5
egc,G3_family,-0.11808206549113864,2
egc,G4_low_sim_0.6,0.6721186275454871,1
egc,G5_ultra_low_0.4,0.622017180132298,1
egb,G0_random,0.8674603253970814,5
egb,G1_canonical_group,0.864151739966809,5
egb,G2_scaffold,0.6857189200476161,5
egb,G3_family,-0.7916408178618721,2
egb,G4_low_sim_0.6,0.5975949354814795,1
egb,G5_ultra_low_0.4,0.7421929529183467,1
ei,G0_random,0.7907455468174025,5
ei,G1_canonical_group,0.7873825433260974,5
ei,G2_scaffold,0.37941463494434985,5
ei,G3_family,-0.42722208929019,2
ei,G4_low_sim_0.6,-0.20674505872548754,1
ei,G5_ultra_low_0.4,0.7139942998093578,1
eea,G0_random,0.8489402638609962,5
eea,G1_canonical_group,0.8433117365147771,5
eea,G2_scaffold,0.7596719394824774,5
eea,G3_family,0.6162832141159583,2
eea,G4_low_sim_0.6,0.6387249294672982,1
eea,G5_ultra_low_0.4,0.33844130307871056,1
nc,G0_random,0.7608055003816911,5
nc,G1_canonical_group,0.7573482016147609,5
nc,G2_scaffold,0.6049223334361976,5
nc,G3_family,0.04030231302137266,2
nc,G4_low_sim_0.6,0.4594679146606021,1
nc,G5_ultra_low_0.4,0.7180584664117433,1
eps,G0_random,0.7082732769889698,5
eps,G1_canonical_group,0.7338171423754014,5
eps,G2_scaffold,0.6532256062501913,5
eps,G3_family,0.40757778221692686,2
eps,G4_low_sim_0.6,0.4860971952600205,1
eps,G5_ultra_low_0.4,0.6579512215660459,1
