smiles,canonical,true_value,oof_ridge,oof_et,oof_lgbm,oof_et_treespread,oof_ensemble
*CC(*)C(=O)OCCCSCC,*CC(*)C(=O)OCCCSCC,5.1212,5.8310032404953684,5.596907916666673,5.140696813945611,0.7666024412245851,5.497312471443345
*CC(=O)c1ccc(C(*)=O)s1,*CC(=O)c1ccc(C(*)=O)s1,2.9786,2.6994028141237676,2.8052096666666673,3.1247806243905667,0.4558886787892656,2.8854087944808295
*Cc1ccc(-c2ccc(O*)s2)s1,*Cc1ccc(-c2ccc(O*)s2)s1,2.9968,2.801882606499411,2.9143085,2.6759897199304974,0.4949552061830952,2.8201850666441333
*CC(*)(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*CC(*)(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.7714,7.059613495371497,5.906603333333329,5.754743980050854,0.5003790274382013,6.06626797575286
*NC(=S)c1ccc(C(*)=S)s1,*NC(=S)c1ccc(C(*)=S)s1,1.6122,1.2650267798244301,1.982505916666667,1.4472487223548736,0.45550283647091433,1.6877142034121857
*CC(*)CCC,*CC(*)CCC,7.2705,7.409646673238317,7.741091833333327,7.569951986205148,0.3411095107309139,7.628535542699413
*OC(F)(F)NC(*)(F)F,*OC(F)(F)NC(*)(F)F,8.991,8.944270690175355,9.949293333333355,9.027857830346123,0.3517509312235954,9.483084091386129
*Cc1ccc(C(=O)C(*)=S)cc1,*Cc1ccc(C(=O)C(*)=S)cc1,2.5816,1.8386316874449493,2.7603951666666666,1.9326860136077941,0.7183320420649454,2.338205500470694
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,6.1125,7.399833599037823,5.438750833333335,5.288615516112896,0.269272839316835,5.74387853298688
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,2.5479,2.2371260952960093,2.680889916666662,2.6146206577783957,0.35171547573562545,2.5807347723456315
*NC(=O)C(=S)c1ccc(*)s1,*NC(=O)C(=S)c1ccc(*)s1,0.9512,1.6018456019758869,1.7662769999999972,1.904192893051172,0.35805516402876597,1.7795869901134638
*C(=O)C(=S)OC(*)=S,*C(=O)C(=S)OC(*)=S,1.4146,1.8787278139468664,1.9128359166666653,2.3102948725303727,0.5241852507015518,2.030065984918334
*Nc1ccc(C(=O)c2ccc(*)s2)s1,*Nc1ccc(C(=O)c2ccc(*)s2)s1,1.7108,2.0612814338481513,2.636096333333333,2.4609747957629624,0.4728557956718353,2.4786559427845445
*Cc1ccc(C(=O)O*)cc1,*Cc1ccc(C(=O)O*)cc1,3.7934,4.196243471364068,4.251772416666669,4.439775177382474,0.3524966618856818,4.300158040968142
*C(=S)OC(=S)c1ccc(*)cc1,*C(=S)OC(=S)c1ccc(*)cc1,2.364,1.5375960919047902,2.199145000000001,2.0434074902057717,0.5742569117588204,2.0321644805513817
