smiles,canonical,true_value,oof_ridge,oof_et,oof_lgbm,oof_et_treespread,oof_ensemble
*CCCCCCCCCCCC(=O)N*,*CCCCCCCCCCCC(=O)N*,6.0986,6.089698558133706,6.106365166666672,6.0220123716783345,0.027499856978921083,6.045076712562689
*CCCCCCNC(=O)C1CC1(C)C(=O)N*,*CCCCCCNC(=O)C1CC1(C)C(=O)N*,6.1739,4.72228155090178,5.640383833333333,5.751906908358742,0.234033346163355,5.6564594919433775
*CC(C)(C)COC(=O)NC(=O)c1cccc(C(=O)NC(=O)O*)c1,*CC(C)(C)COC(=O)NC(=O)c1cccc(C(=O)NC(=O)O*)c1,4.9585,6.028549861214728,4.79766233333333,4.879334261832844,0.30392167889222166,4.940929934988862
*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3*,*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,2.8474,3.0105336327297527,2.940924833333334,2.9215065748024864,0.3454992160305866,2.931890395077017
*Oc1ccc(Oc2ccc(NC(=C(C#N)C#N)c3ccc(-c4ccc(-c5ccc(C(Nc6ccc(*)cc6)=C(C#N)C#N)cc5)cc4)cc3)cc2)cc1,*Oc1ccc(Oc2ccc(NC(=C(C#N)C#N)c3ccc(-c4ccc(-c5ccc(C(Nc6ccc(*)cc6)=C(C#N)C#N)cc5)cc4)cc3)cc2)cc1,3.2228,3.4209861097371066,3.014926583333337,3.2423526309522015,0.38132344967923343,3.2051182169210453
*CC(OC(=O)OCC)C(COC(=O)O*)OC(=O)OCC,*CC(OC(=O)OCC)C(COC(=O)O*)OC(=O)OCC,7.1757,5.843551773129438,6.607801250000001,6.523884239311849,0.5656803564880903,6.495173054020983
*OC(=O)CCCCCCCCCCC(*)=O,*OC(=O)CCCCCCCCCCC(*)=O,6.499,6.149111233916356,6.2576227499999995,6.345680352319255,0.03721065353637535,6.312903899086068
*c1ccc(-n2ccc(-c3ccc(-c4ccn(*)n4)cc3)n2)cc1,*c1ccc(-n2ccc(-c3ccc(-c4ccn(*)n4)cc3)n2)cc1,3.3335,3.3978679027543075,3.6274041666666674,3.636915081720257,0.32207707329729324,3.6183260704281173
*CCCOC(=O)N1CCC(*)CC1,*CCCOC(=O)N1CCC(*)CC1,5.7499,5.469560611474406,5.948598250000006,5.95563907276843,0.4248953762901766,5.920521146890721
*CCC=C(*)Cl,*CCC=C(*)Cl,5.461,4.998889012291887,5.02690433333333,4.934931840790114,0.6116692682466017,4.959399548161547
*CCCCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCO*,*CCCCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCO*,5.6858,5.63684534814384,5.727640083333333,5.743844684927786,0.13290658412226447,5.7329197009054536
*CCCCCCCCCCCCOC(=O)c1cccc(C(=O)O*)c1,*CCCCCCCCCCCCOC(=O)c1cccc(C(=O)O*)c1,5.1678,5.109678326251608,5.190838499999995,5.058470637196463,0.09110995244437714,5.090863196012927
*CNCN*,*CNCN*,5.1634,5.888409892505678,5.364675749999995,5.6060663706348866,0.24265494956142933,5.572953161242836
*CC(C)(C)O*,*CC(C)(C)O*,5.2445,6.5322312211853175,5.765177166666668,5.693914087610539,0.14530050522117172,5.767367837014142
*c1sc(*)c(OCCCCCCCCCCCCCCCC)c1C,*c1sc(*)c(OCCCCCCCCCCCCCCCC)c1C,3.676,2.9760162419961205,2.8054634166666643,2.9799638945942646,0.8645795087958742,2.941652116108515
*OC(=O)CCCCCCC(*)=O,*OC(=O)CCCCCCC(*)=O,6.0659,6.159910834119185,6.214864166666671,6.223883299961428,0.13634419295328767,6.2174973848554185
*Oc1ccc(C(=O)NNC(=O)c2cccc(C(=O)NNC(=O)c3ccc(OC(=O)c4cccc(C(*)=O)c4)cc3)c2)cc1,*Oc1ccc(C(=O)NNC(=O)c2cccc(C(=O)NNC(=O)c3ccc(OC(=O)c4cccc(C(*)=O)c4)cc3)c2)cc1,3.7359,2.2330309734882636,3.3593551666666657,3.0964705963475625,0.4149992020386908,3.0941213632181697
*c1ccc(Oc2ccc(-c3cnc4cc(-c5ccc6nc(*)cnc6c5)ccc4n3)cc2)cc1,*c1ccc(Oc2ccc(-c3cnc4cc(-c5ccc6nc(*)cnc6c5)ccc4n3)cc2)cc1,3.1085,2.9333734410504633,3.011625833333332,2.991240141844562,0.10697027487876658,2.9916859766310315
*NC1CCC(CCC2CCC(NC(=O)CCCCCCCCCCC(*)=O)CC2)CC1,*NC1CCC(CCC2CCC(NC(=O)CCCCCCCCCCC(*)=O)CC2)CC1,5.7235,5.602919101833375,5.689660249999998,5.7793526035265845,0.11870147773204351,5.747610961558755
*CCNC(=O)C(OC)C(OC)C(=O)N*,*CCNC(=O)C(OC)C(OC)C(=O)N*,5.4257,5.570727197907637,5.735972083333333,5.6979575469277375,0.24712672861721904,5.6974539337350025
*CC(*)OCCCCCCCCCCCC,*CC(*)OCCCCCCCCCCCC,5.4919,6.027977180800468,5.897443333333325,5.95531852478689,0.2531231036746524,5.94772239806227
*Nc1cc(C)c(*)cc1C,*Nc1cc(C)c(*)cc1C,3.9275,3.6774335188902825,3.640576499999999,3.844198466904381,0.6456768456868215,3.7882895191539845
*OC(=O)CCCCCCCCCCCCCCCCC(*)=O,*OC(=O)CCCCCCCCCCCCCCCCC(*)=O,6.1592,6.251116838749577,6.358686583333333,6.462623805026406,0.08610130184680878,6.425353728668833
*c1cc(CCCCCCCCCC)c(*)[nH]1,*c1cc(CCCCCCCCCC)c(*)[nH]1,2.8756,3.046820094833665,3.073878166666668,3.06292832600987,0.3576894349556066,3.064202345463927
*c1cnc(*)c(C)c1,*c1cnc(*)c(C)c1,5.1042,4.734114167211374,4.078296250000001,4.253663414879168,0.8030749420239501,4.24862974397314
*CCCCCCCCCC[n+]1ccc(-c2cc[n+](*)cc2)cc1,*CCCCCCCCCC[n+]1ccc(-c2cc[n+](*)cc2)cc1,2.5264,0.47684299001169084,3.3255844999999984,2.1839757693739887,1.2073163834243075,2.314887314585918
*NC(CCC(*)=O)C(=O)O,*NC(CCC(*)=O)C(=O)O,5.9301,5.477146379364581,5.783523916666668,5.654399362483894,0.292889783600786,5.670300594556957
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,2.5383,2.8810041481194757,2.720265,2.65627063376189,0.18155932756264553,2.6857474619523787
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,*CC(*)(C)C(=O)OCC(F)(F)C(F)F,6.3988,7.098891616331542,6.510572083333329,6.588210781760238,0.20586305627459067,6.606569351239312
*CCCCCCCCCCCCCCC(*)Cl,*CCCCCCCCCCCCCCC(*)Cl,7.2258,7.023125224777037,7.046767749999999,6.891322660943769,0.1640935793997296,6.934314072972488
*Oc1ccc(S(=O)(=O)c2ccc(-c3ccc(-c4ccc(S(=O)(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,*Oc1ccc(S(=O)(=O)c2ccc(-c3ccc(-c4ccc(S(=O)(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,3.6921,4.38719023517147,3.7882612500000006,3.6631540411863597,0.34549566264739096,3.740449514438076
*NC(CCC(=O)OC)C(*)=O,*NC(CCC(=O)OC)C(*)=O,5.9283,6.417934373310914,5.764686166666665,5.720099606632032,0.29357131037501866,5.778032279109573
*CCOC(=O)N(C)c1ccc(C)c(N(C)C(=O)O*)c1,*CCOC(=O)N(C)c1ccc(C)c(N(C)C(=O)O*)c1,5.1683,6.4018288713673135,4.620958416666666,5.070854899540682,0.6563447683615287,5.0647396518571774
*c1ccc(S(*)(=O)=O)cc1,*c1ccc(S(*)(=O)=O)cc1,4.2821,3.330327457042965,4.263031333333333,3.5603966772761066,0.7921822923288131,3.6976672446213454
*CCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCOc1ccc(Oc2ccc(O*)cc2)cc1,*CCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCOc1ccc(Oc2ccc(O*)cc2)cc1,4.3261,4.430271174093749,4.425472333333334,4.521201832669298,0.13691976566223008,4.494051546957549
*Oc1ccc(C(C#N)(c2ccccc2)c2ccc(OC(*)=O)cc2)cc1,*Oc1ccc(C(C#N)(c2ccccc2)c2ccc(OC(*)=O)cc2)cc1,5.0272,4.59251290302263,4.753538749999996,5.014741669234123,0.37997743066726114,4.9286307880241536
*c1ccc(Oc2ccccc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,*c1ccc(Oc2ccccc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,2.1614,1.9966188367184463,2.1393690000000007,2.225249381648119,0.23231899900209052,2.190732416110847
*OC([2H])([2H])C(*)([2H])[2H],*OC([2H])([2H])C(*)([2H])[2H],5.8501,6.555670555529912,6.348203999999997,6.436619323607484,0.43352342390015214,6.425571068320161
*CCCCCOC(=O)C(=O)O*,*CCCCCOC(=O)C(=O)O*,5.5658,5.582915479922157,5.402592166666667,5.3157684256384,0.35662580621052314,5.353152133934619
*CC1CCC(COC(=O)CCC(=O)O*)CC1,*CC1CCC(COC(=O)CCC(=O)O*)CC1,6.5939,6.595076715022741,6.639722583333333,6.7488130350771565,0.16250039818667025,6.7144109835538694
*CCCCCCCOc1ccc(C=CC=Cc2ccc(O*)c(C)c2)cc1C,*CCCCCCCOc1ccc(C=CC=Cc2ccc(O*)c(C)c2)cc1C,3.4306,3.279441927807859,3.69049225,3.490566420759589,0.5311718355016718,3.5195613124184764
*C=Cc1cc(OCC)c(*)cc1OCC,*C=Cc1cc(OCC)c(*)cc1OCC,4.2145,2.7877783684445285,2.5736870833333336,2.3786078126284123,0.5974345645048537,2.449402331929919
*CNC(=O)CCCCCCCCC(=O)N*,*CNC(=O)CCCCCCCCC(=O)N*,6.1742,5.909142593872071,5.879609833333331,5.916333067841864,0.12744118956503037,5.907831048959263
*C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N*,*Nc1ccc(NC(=O)NC(=O)NC(*)=O)s1,3.5876,1.592229178558782,3.2335732499999996,2.7599954030680096,0.6727573590536384,2.782548913554519
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)c(C(C)C)c2)cc1C(C)C,*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)c(C(C)C)c2)cc1C(C)C,3.2409,5.431659362558891,3.9513359166666646,3.997384675231401,0.5681519672589994,4.086440479669413
*c1sc(*)c(OC)c1OC,*c1sc(*)c(OC)c1OC,4.1637,3.8882006274558467,2.809717916666666,2.143547617202369,0.5920513470997294,2.4093027391484156
*CCCCCCC(=O)NCCCCCCNC(=O)CCCCCCO*,*CCCCCCC(=O)NCCCCCCNC(=O)CCCCCCO*,5.7692,5.745696275216696,5.899585416666667,5.916602717605908,0.07740662938049048,5.901085239527835
*CCCCCCNC(=O)CCCCCCC(=O)N*,*CCCCCCNC(=O)CCCCCCC(=O)N*,5.7328,5.860678619997142,5.8298771666666696,5.949226950830241,0.1320094521690482,5.917092317805735
*CC1CCC(CNC(=O)CCCCCCCC(=O)N*)CC1,*CC1CCC(CNC(=O)CCCCCCCC(=O)N*)CC1,5.7062,5.8451863969416245,5.819995000000001,5.846387064345701,0.06302706418233714,5.8405509531965265
