smiles,canonical,true_value,oof_ridge,oof_et,oof_lgbm,oof_et_treespread,oof_ensemble
*OC(F)(F)CC(*)(F)F,*OC(F)(F)CC(*)(F)F,9.6085,7.950844136165206,8.825447249999995,8.783991931841136,0.16966839423463523,8.678405842797073
*NOC(=S)O*,*NOC(=S)O*,7.5682,7.113456763028477,6.559694499999997,7.70908312617118,0.5315762573341821,7.0163253721558645
*Nc1ccc(C(=O)O*)s1,*Nc1ccc(C(=O)O*)s1,6.0364,6.752127042869953,6.3231413333333295,6.532517684753116,0.924085895173291,6.456452016794634
*NC(=O)c1ccc(O*)s1,*NC(=O)c1ccc(O*)s1,6.5697,6.548233696362444,6.407152000000002,6.26300467358931,0.5104382416026884,6.382050116809614
*CNC(=S)c1ccc(*)s1,*CNC(=S)c1ccc(*)s1,5.8964,5.665626357790607,5.958882250000003,5.708439875105762,0.2922743446807273,5.8330166491807365
*OC(F)(F)C(=S)C(*)(F)F,*OC(F)(F)C(=S)C(*)(F)F,7.385,8.158587607192896,7.219215666666668,8.308808904150903,1.346058999179166,7.7154065267342355
*C(=S)C(F)(F)CC(*)(F)F,*C(=S)C(F)(F)CC(*)(F)F,7.4545,8.123116083834175,7.576743583333334,7.177128105888725,0.25366517787932297,7.530874614159676
*c1ccc(C(=O)C(F)(F)C(*)(F)F)s1,*c1ccc(C(=O)C(F)(F)C(*)(F)F)s1,7.5565,7.719508936904095,7.350830749999985,7.668676648762311,0.353755308464675,7.510036206328076
*NC(=O)NC(*)=O,*NC(=O)NC(*)=O,5.9087,7.143109121294856,7.19413991666666,5.785507377128251,0.6453817033932054,6.7304070063126105
*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,5.7839,5.946177496215418,6.020707166666671,6.023134781963303,0.2509934682832625,6.0101061428751485
*CCc1ccc(C(*)=S)cc1,*CCc1ccc(C(*)=S)cc1,5.8549,6.015547440031676,5.736511750000006,5.835527330907147,0.30904603700922,5.811191996564851
*CNC(=S)C(*)=O,*CNC(=S)C(*)=O,6.3386,5.987299757445062,6.293504333333337,6.4899449519689325,0.39559922582091966,6.310304372743937
*Cc1ccc(C(=S)c2ccc(*)s2)s1,*Cc1ccc(C(=S)c2ccc(*)s2)s1,5.9541,5.811470869159817,5.738293583333331,5.699781506377285,0.3479021009113753,5.737008421060134
