smiles,canonical,true_value,oof_ridge,oof_et,oof_lgbm,oof_et_treespread,oof_ensemble
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,*Nc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.91,5.4516019254554315,5.583191666666669,5.781557614361513,0.7201321209314459,5.620492470840094
*CNC(=O)NCOCO*,*CNC(=O)NCOCO*,4.22,4.073299437674869,3.7634749999999983,3.6393533967437124,0.28210364414815087,3.794150435074976
*NC(=O)NC(*)=S,*NC(=O)NC(*)=S,7.36,5.089458242395432,5.553041666666669,5.724619749048281,0.5292941168696076,5.502255767022772
*CC(=S)NO*,*CC(=S)NO*,5.15,4.359429600772899,4.209133333333332,4.297530002821285,0.481374679664627,4.275366133634686
*NC(=O)OC(*)=S,*NC(=O)OC(*)=S,5.76,4.857781496949274,6.383283333333337,5.724605941362998,0.6455503876968516,5.7934530519031044
*CNc1ccc(N*)cc1,*CNc1ccc(N*)cc1,4.2,3.9747714550939737,3.9999916666666673,3.915698342143654,0.2564359080366,3.964875408666418
*Nc1ccc(C(=S)c2ccc(*)s2)s1,*Nc1ccc(C(=S)c2ccc(*)s2)s1,6.36,6.281604348213436,6.536458333333334,7.265965394316838,0.8672155463432634,6.7280284282583676
*C(=O)c1ccc(OC(*)=S)cc1,*C(=O)c1ccc(OC(*)=S)cc1,5.05,4.468885136168425,4.659174999999996,4.9476544935648175,0.5564926374051243,4.713676841750872
*CCCC(*)=O,*CCCC(*)=O,3.27,3.912739875832395,3.2280750000000036,3.4167383546384094,0.1808149835159932,3.4558381772802136
*CC(=O)c1ccc(C(*)=S)s1,*CC(=O)c1ccc(C(*)=S)s1,4.78,5.432498860819251,5.853733333333337,5.261427367557239,0.7595872095348163,5.549040105050522
*Nc1ccc(-c2ccc(C(=S)c3ccc(-c4ccc(Nc5ccc(*)cc5)s4)s3)s2)s1,*Nc1ccc(-c2ccc(C(=S)c3ccc(-c4ccc(Nc5ccc(*)cc5)s4)s3)s2)s1,6.88,7.640694641285804,6.610891666666664,6.352515670409389,0.9344537453254592,6.766129934823171
*NC(=S)c1ccc(O*)s1,*NC(=S)c1ccc(O*)s1,5.61,5.606100555015554,5.175749999999999,5.111795901660043,0.5837518201256421,5.255834789761781
*NCC(F)(F)C(*)(F)F,*NCC(F)(F)C(*)(F)F,4.32,3.4705460660003102,3.7749916666666716,3.6776730549778316,0.16858137645099194,3.6690739519208035
*CC(=O)Cc1ccc(*)cc1,*CC(=O)Cc1ccc(*)cc1,3.64,3.7070912223501375,3.7592333333333317,3.8693405657745727,0.24036458650234738,3.784900424042098
*Cc1ccc(-c2ccc(N*)s2)s1,*Cc1ccc(-c2ccc(N*)s2)s1,4.54,4.019841778151529,4.398541666666666,4.552523719789626,0.33817919056404927,4.361830521970121
*CC(=O)Oc1ccc(*)s1,*CC(=O)Oc1ccc(*)s1,3.92,3.8957469922541295,4.114466666666667,4.081156159697625,0.4451538360811662,4.051022326882213
*CNc1ccc(C(*)=O)cc1,*CNc1ccc(C(*)=O)cc1,4.8,4.528172285260407,4.267866666666668,4.221439190474302,0.3986456990026775,4.313631614612722
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,8.28,7.504227406839115,6.111674999999996,6.753262674719878,1.340346270532565,6.664031762966829
*C(=O)NC(F)(F)C(*)(F)F,*C(=O)NC(F)(F)C(*)(F)F,3.53,4.002424480819487,3.971441666666665,3.944663729796937,0.3223674868798375,3.969545152884634
*CNC(=S)c1ccc(*)s1,*CNC(=S)c1ccc(*)s1,4.55,5.157188909182023,5.526691666666661,5.498491756858268,0.7300658546684526,5.429210703836329
*OCC(=S)c1ccc(C(=S)Cc2ccc(-c3ccc(*)cc3)cc2)s1,*OCC(=S)c1ccc(C(=S)Cc2ccc(-c3ccc(*)cc3)cc2)s1,4.62,5.864508134000653,5.692366666666665,5.910250090675574,0.9702943476652386,5.80853109778603
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)s1,*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)s1,4.0,3.8969247946496814,3.7349750000000053,3.7070408720041144,0.3014438162825702,3.763776344527247
*Nc1ccc(C(=O)c2ccc(*)s2)cc1,*Nc1ccc(C(=O)c2ccc(*)s2)cc1,6.11,5.683344792398241,5.561233333333337,5.548301920757003,0.8098152608259905,5.585759527418514
*Nc1ccc(OC(*)=S)cc1,*Nc1ccc(OC(*)=S)cc1,4.5,5.256507369331079,5.1951333333333345,4.887598302124899,0.5314984415154324,5.103436433272349
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,4.1,4.567800398081885,4.292508333333333,4.449173178001694,0.3430812989778564,4.412011004531371
*Oc1ccc(C(F)(F)C(*)(F)F)s1,*Oc1ccc(C(F)(F)C(*)(F)F)s1,3.9,3.0071640029582096,3.8132833333333385,3.866613244367517,0.2574204790912244,3.640303102986583
*C(=O)NC(=O)c1ccc(*)cc1,*C(=O)NC(=O)c1ccc(*)cc1,4.45,4.61398425932093,4.425083333333338,4.481488208310731,0.33329990457377706,4.489427717524986
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,3.7,3.8641995841934293,3.955100000000002,3.852600483229555,0.2838679583499654,3.8980971266625044
