smiles,canonical,true_value,oof_ridge,oof_et,oof_lgbm,oof_et_treespread,oof_ensemble
*NC(=O)Oc1ccc(*)s1,*NC(=O)Oc1ccc(*)s1,1.9321,1.937464062829849,1.951610416666666,1.942411939379269,0.10229064224113646,1.9426768202747262
*NCNC(=O)OC(=O)NC(*)=O,*NCNC(=O)OC(=O)NC(*)=O,1.7355,1.7600029745743035,1.7715918333333314,1.77101201605285,0.06881179047449318,1.7671419298375377
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)s1,*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)s1,1.7814,2.012466348888276,1.951520166666667,1.9182609237899697,0.12233952094467346,1.959948303247855
*Cc1ccc(OC(*)=S)cc1,*Cc1ccc(OC(*)=S)cc1,1.8273,1.9236717899334819,1.8975476666666642,1.8669879033751096,0.0794372551493735,1.8944365994098034
*NC(=O)C(=S)C(*)=O,*NC(=O)C(=S)C(*)=O,2.263,2.077285293608048,2.126018916666664,2.427512969100098,0.10515212055606633,2.232651285849721
*CNOc1ccc(*)cc1,*CNOc1ccc(*)cc1,1.8294,1.843231453928145,1.852559916666666,1.885396029031575,0.0839637525479746,1.862712433766772
*OC(F)(F)NC(*)(F)F,*OC(F)(F)NC(*)(F)F,1.5936,1.594134690272,1.566546166666663,1.5708877546699704,0.007595230175357887,1.5783609020369056
*CCO*,*CCO*,1.6377,1.7783180050196576,1.631563083333333,1.6633963821867763,0.03139139836525902,1.6980145005575134
*CCCc1ccc(*)s1,*CCCc1ccc(*)s1,1.7538,1.7642095458127711,1.822668416666665,1.8096031232772845,0.043680664626528726,1.7960392688921547
*Nc1ccc(C(=O)c2ccc(*)s2)s1,*Nc1ccc(C(=O)c2ccc(*)s2)s1,2.5062,2.1356708323360882,2.138966083333335,2.1060904204110558,0.14862778162407278,2.124210463185565
*CC(=S)OC(*)=S,*CC(=S)OC(*)=S,1.9523,2.0241995781256996,2.0496213333333353,2.048208374740774,0.11202816539652481,2.039801687639349
*CCC(=O)N*,*CCC(=O)N*,1.7036,1.7365171214573474,1.7075563333333323,1.6843075077045868,0.036278486070335875,1.7084910748872493
*Cc1ccc(Cc2ccc(*)s2)s1,*Cc1ccc(Cc2ccc(*)s2)s1,1.8382,1.7944034673047702,1.895209499999999,1.8122808072211234,0.07496255671833772,1.8243811609308485
*NC(=O)C(=S)O*,*NC(=O)C(=S)O*,2.1173,2.0281537869106407,2.070361083333336,1.9673698307208831,0.1426709907276713,2.0125504059021413
*OC(=S)C(F)(F)C(*)(F)F,*OC(=S)C(F)(F)C(*)(F)F,1.7142,1.6854210409080075,1.7822826666666671,1.6806121404406642,0.0892493437392617,1.705158170461509
*C(F)C(*)(F)F,*C(F)C(*)(F)F,1.5796,1.7510751235171327,1.6078105833333356,1.6099331667506798,0.011805420621418412,1.6607407408427168
*Nc1ccc(Oc2ccc(*)cc2)cc1,*Nc1ccc(Oc2ccc(*)cc2)cc1,1.9297,1.9404292107491072,1.9649226666666662,1.9482194223404579,0.1073467895426366,1.9491344271359483
*OC(=O)C(F)(F)C(*)(F)F,*OC(=O)C(F)(F)C(*)(F)F,1.5879,1.5767920450540274,1.5790965000000003,1.57076495451518,0.014962123344372682,1.574823157860652
*Cc1ccc(-c2ccc(O*)s2)s1,*Cc1ccc(-c2ccc(O*)s2)s1,1.9533,1.99002058600725,1.9400511666666653,1.9663548724874678,0.07385486735464507,1.96905536821055
*CC(=O)Cc1ccc(*)s1,*CC(=O)Cc1ccc(*)s1,1.799,1.8435536610915926,1.8585909166666679,1.86336158247932,0.030738162482016287,1.8550946480658184
*CC(=O)NC(*)=S,*CC(=O)NC(*)=S,1.9255,1.9031404431667864,1.944535749999998,1.9036920445574765,0.077264529888442,1.912650466572542
*NC(=O)c1ccc(C(*)=S)cc1,*NC(=O)c1ccc(C(*)=S)cc1,1.971,2.1046886805081684,2.148773166666665,2.071465629782271,0.09878431943422669,2.1008726758118046
*CC(=O)NC(*)=O,*CC(=O)NC(*)=O,1.7864,1.8108215650487047,1.7446883333333343,1.8037988605588546,0.03863862377495118,1.7930955206629107
*CC(=S)c1ccc(C(*)=S)s1,*CC(=S)c1ccc(C(*)=S)s1,2.4487,2.3360188923800083,2.106908916666665,2.1053103385859524,0.14395767247197572,2.189496129372248
*OCCCCONC(*)=O,*OCCCCONC(*)=O,1.6747,1.725151532517689,1.6765777500000016,1.6851457480860692,0.04951256892271283,1.6977604418369454
*Oc1ccc(-c2ccc(C(*)=O)s2)s1,*Oc1ccc(-c2ccc(C(*)=O)s2)s1,2.0521,2.2719977352667016,2.2531881666666673,2.306952839928956,0.23622173451482922,2.2821957387508265
*NC(=O)c1ccc(C(*)=O)s1,*NC(=O)c1ccc(C(*)=O)s1,2.034,2.022695640340502,2.0036705833333315,1.965792698489645,0.12464903981866556,1.9949620126268721
*NC(F)(F)CC(*)(F)F,*NC(F)(F)CC(*)(F)F,1.6205,1.675960719570769,1.606955416666668,1.6150786678228264,0.021241086950210177,1.6353784269689668
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)cc1,*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)cc1,1.8364,1.6442913215543868,1.8322729166666676,1.7872069667828994,0.10313812710305721,1.7453846033827611
*CC(=S)c1ccc(O*)s1,*CC(=S)c1ccc(O*)s1,2.1619,2.161112147751134,2.036530666666666,2.0475853670011834,0.17312542017149168,2.0863560928793747
*CCOC(=O)NCCOCCOCCNC(=O)O*,*CCOC(=O)NCCOCCOCCNC(=O)O*,1.6526,1.6249891625309734,1.6930407500000002,1.707312077055417,0.05454187427252317,1.674200049984735
*Oc1ccc(C(=O)c2ccc(C(=O)NOC(*)=O)s2)cc1,*Oc1ccc(C(=O)c2ccc(C(=O)NOC(*)=O)s2)cc1,1.8941,1.8163935587202498,2.0028906666666657,2.0499311368997613,0.161220496229715,1.9545274796625656
*Nc1ccc(*)cc1,*Nc1ccc(*)cc1,2.124,1.9526883649290743,1.9102631666666665,1.897743890567092,0.11027606106179874,1.9205151539475793
*C(=O)Oc1ccc(C(*)=S)cc1,*C(=O)Oc1ccc(C(*)=S)cc1,2.0099,2.001809190796152,2.0307127499999993,1.936508923363803,0.17481992242795227,1.981359984245823
*CCON*,*CCON*,1.7034,1.7335573536779165,1.666355000000001,1.6674953073457264,0.029449675672615173,1.6912430676647836
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)cc2)cc1,*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)cc2)cc1,2.646,2.3564316394053204,2.3178459166666685,2.422532550298388,0.1893905343353421,2.375039899718261
*Cc1ccc(Cc2ccc(*)s2)cc1,*Cc1ccc(Cc2ccc(*)s2)cc1,1.8173,1.827911299270105,1.8506635833333331,1.9060461240166597,0.06335236389690907,1.865236996686639
*Cc1ccc(C(=O)C(*)=S)cc1,*Cc1ccc(C(=O)C(*)=S)cc1,1.9454,1.9461064093508662,1.9774150833333326,2.0057011001148326,0.09771880165098305,1.9777046391461288
*C(=S)NC(F)(F)C(*)(F)F,*C(=S)NC(F)(F)C(*)(F)F,1.765,1.8239452359692168,1.7942125000000002,1.723001570864034,0.07455648082252062,1.7756476062305957
*c1ccc(OC(=S)c2ccc(*)s2)cc1,*c1ccc(OC(=S)c2ccc(*)s2)cc1,2.2131,2.161099433263143,2.0933437500000003,1.9962139417674558,0.14311067522140472,2.077905147983053
*Cc1ccc(C(=O)c2ccc(*)s2)s1,*Cc1ccc(C(=O)c2ccc(*)s2)s1,2.0215,1.8484819939418708,1.9633838333333329,2.009294807262927,0.11267465361125664,1.9405687746241618
*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,1.7289,1.7246863434042223,1.7502977500000017,1.7431852411894273,0.06610816472682184,1.7380586352438567
*COc1ccc(O*)cc1,*COc1ccc(O*)cc1,1.7891,1.8110125467981593,1.8449673333333338,1.8336513414139552,0.033378330913267,1.8279631096914484
*Nc1ccc(NO*)cc1,*Nc1ccc(NO*)cc1,1.8848,1.958466251749691,1.9004432499999995,1.9332886273194014,0.06533755328840589,1.9350715589427951
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,2.1519,2.3658849354159814,2.4622424166666703,2.2358465957826827,0.2111910302756298,2.333862960854285
*C(=S)C(=O)CCNc1ccc(C(=S)c2ccc(*)cc2)cc1,*C(=S)C(=O)CCNc1ccc(C(=S)c2ccc(*)cc2)cc1,2.3328,2.084058149933106,2.005580416666667,1.9345369818569036,0.1405205770265762,2.0047959612534143
*CCC(=O)C(*)=S,*CCC(=O)C(*)=S,1.9627,1.8483132485031193,1.9162089999999987,1.9467602457130535,0.06716194604668467,1.9041389473565105
*c1ccc(C(F)(F)CC(*)(F)F)s1,*c1ccc(C(F)(F)CC(*)(F)F)s1,1.7568,1.7946951648832854,1.8078164166666664,1.7606213978975631,0.08396908628374129,1.7835850796887267
*CCOC(=O)CCCCCCC(=O)O*,*CCOC(=O)CCCCCCC(=O)O*,1.6577,1.6552720535786989,1.6519858333333324,1.6430862519042324,0.016100660075323344,1.6495095832467017
*CNc1ccc(-c2ccc(*)cc2)s1,*CNc1ccc(-c2ccc(*)cc2)s1,1.9424,2.0924218808516803,2.0436787499999998,1.9976683542987161,0.1977758738722635,2.042414219782836
*c1ccc(NC(F)(F)C(*)(F)F)s1,*c1ccc(NC(F)(F)C(*)(F)F)s1,1.862,1.8416721773510214,1.8276110833333332,1.787708303733062,0.09326802347829943,1.8162637804428106
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,1.9768,2.185927885374059,2.0256176666666654,1.9978937926739644,0.1696602290743341,2.0724323043002295
*CNC(=O)C(*)=S,*CNC(=O)C(*)=S,1.9972,1.957265965341426,1.977184750000002,1.9110986398726297,0.13922704590162455,1.942692645691287
*Nc1ccc(-c2ccc(C(=S)c3ccc(-c4ccc(Nc5ccc(*)cc5)s4)s3)s2)s1,*Nc1ccc(-c2ccc(C(=S)c3ccc(-c4ccc(Nc5ccc(*)cc5)s4)s3)s2)s1,2.4299,2.9287631990799095,2.5511379166666712,2.1913201489696865,0.20564929599075485,2.539954066852328
*NOc1ccc(O*)cc1,*NOc1ccc(O*)cc1,1.8691,1.844472524905201,1.8682352499999981,1.9022808289425024,0.07686493441199134,1.8736419151136992
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,*CC(=O)c1ccc(-c2ccc(*)s2)cc1,2.0511,1.9743666495328034,1.994962416666666,2.0117893851792013,0.07931813835570822,1.9944186352874296
*Nc1ccc(Oc2ccc(*)s2)s1,*Nc1ccc(Oc2ccc(*)s2)s1,1.9001,2.1434520150302463,2.2260942499999983,2.2199006791503764,0.21925939615364198,2.1935121198825422
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,2.2975,2.4076216436294597,2.1574312499999992,2.226841436389891,0.16693386636244692,2.276962802285672
*OC(F)(F)C(=O)C(*)(F)F,*OC(F)(F)C(=O)C(*)(F)F,1.5807,1.6845251939976613,1.5934190833333353,1.5954687675261816,0.03854838231212744,1.6273675533040364
*CNc1ccc(C(*)=O)s1,*CNc1ccc(C(*)=O)s1,2.0195,1.9828165914662468,1.9271450833333328,1.894695444163654,0.11606068444756605,1.9339905713106844
*CC(=O)CO*,*CC(=O)CO*,1.6922,1.7267912136758787,1.6613220833333326,1.6695708252015833,0.045318274488380134,1.6885119887890423
*NC(=O)Oc1ccc(*)cc1,*NC(=O)Oc1ccc(*)cc1,1.8802,1.9658068352474984,1.9458095000000002,1.9895648809753823,0.0943846981994139,1.9711206971482071
*OC(=O)c1ccc(C(*)=O)s1,*OC(=O)c1ccc(C(*)=O)s1,1.8811,1.9926104027542988,1.9696134999999984,1.8844805054986147,0.1042751777801569,1.9428595404986124
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,2.0222,2.4160544668197375,2.3618595000000004,2.404641392988677,0.24926066627968899,2.399194835691525
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,1.8005,1.8836687464254571,1.9306490000000005,1.9077604039672575,0.08087651471430585,1.9041393340483652
*Cc1ccc(C(=O)N*)cc1,*Cc1ccc(C(=O)N*)cc1,1.8171,1.804821434411056,1.8779109999999988,1.88158427316179,0.05107948143280673,1.8528690056473591
*CC(*)C,*CC(*)C,1.6081,1.6621715019707015,1.647360666666667,1.6243656793631127,0.03369711074162493,1.6432587472989855
*Nc1ccc(-c2ccc(C(*)=S)s2)cc1,*Nc1ccc(-c2ccc(C(*)=S)s2)cc1,2.4805,2.312605580817517,2.31757,2.4691243446934332,0.13643562508255197,2.3782689382964235
*OC(=S)OC(*)=O,*OC(=S)OC(*)=O,1.7396,1.8505002032909146,2.0289769999999985,2.0300512773287687,0.12104922095256221,1.9645709871137638
*Nc1ccc(C(=O)c2ccc(*)s2)cc1,*Nc1ccc(C(=O)c2ccc(*)s2)cc1,2.186,2.2069040993407456,2.203918583333332,2.0844786426625017,0.19425324988828305,2.1557449637717436
*c1ccc(C(F)(F)CC(*)(F)F)cc1,*c1ccc(C(F)(F)CC(*)(F)F)cc1,1.7249,1.7179250196792528,1.7331772500000011,1.7286846368152247,0.03398111555528957,1.7257825886245928
*NC(=O)c1ccc(O*)s1,*NC(=O)c1ccc(O*)s1,1.969,2.0428634037389406,1.9944549999999992,1.9647351353401934,0.10366003728802894,1.999787249064669
