polymer,smiles,n_variants,pred_canonical,mean_pred,std_pred,std_pred_graph_only,max_dev,viol_rate_0_5sigma,viol_rate_1sigma,viol_rate_2sigma
0,*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,30,2.4896883635870086,2.5121138907786196,0.12606313709706626,4.440892098500626e-16,0.25969906425334344,0.0,0.0,0.0
1,*CC(C#N)(C#N)CC(C#N)(C#N)CC(C#N)(C#N)C(C#N)C(*)(C#N)C#N,30,6.416066402101244,6.166931644008926,0.12346809280398556,1.7763568394002505e-15,0.5257249942950963,0.0,0.0,0.0
2,*CC(*)(C)C(=O)Oc1ccccc1,30,4.835077308180484,4.7955210935836305,0.10900942054214044,8.881784197001252e-16,0.2756553538808806,0.0,0.0,0.0
3,*OCC(F)(F)C(*)(F)F,30,8.776769976408556,8.092779208787041,0.17749817114258684,0.0,0.9114616704789142,0.0,0.0,0.0
4,*NC(F)(F)NC(*)(F)F,30,8.14020284580048,7.5140253226832945,0.2442299455903392,1.7763568394002505e-15,0.8317840554490559,0.0,0.0,0.0
5,*C(C)C(*)O,30,7.924154139361542,7.72625324277739,0.09789445650627865,1.7763568394002505e-15,0.4531874231064057,0.0,0.0,0.0
6,*Oc1ccc(C(=S)c2ccc(*)cc2)cc1,30,1.8655702550291164,2.0404577065191076,0.12955433290056664,6.661338147750939e-16,0.4248099054859238,0.0,0.0,0.0
7,*CC(*)(C)C(=O)OC(C(F)(F)F)C(F)(F)F,30,5.350654795750893,5.438845778022508,0.05104009041165679,1.7763568394002505e-15,0.22720444836507703,0.0,0.0,0.0
8,*Oc1ccc(Cc2ccc(*)cc2)cc1,30,4.011618970179496,3.9497935252853917,0.13148149029845907,0.0,0.32474554756702867,0.0,0.0,0.0
9,*CNc1ccc(O*)cc1,30,3.7838348137716435,4.024928957586579,0.1260417596846131,4.440892098500626e-16,0.5054371308671461,0.0,0.0,0.0
10,*C=CC1CC(*)C(C#N)(CCC)C1,30,5.8845627734623704,5.981259881364021,0.05550444827569421,1.7763568394002505e-15,0.1693947009958734,0.0,0.0,0.0
11,*Cc1ccc(C(=O)c2ccc(*)s2)cc1,30,3.332750326075022,3.3471503562664053,0.08478093852913864,1.3322676295501878e-15,0.21712716611013727,0.0,0.0,0.0
12,*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)cc1,30,3.8150279779370573,4.028274288337034,0.14306743001392586,1.3322676295501878e-15,0.5111147585244229,0.0,0.0,0.0
13,*C(=O)c1ccc(Oc2ccc(*)s2)s1,30,3.0564639261521993,2.9225438881531014,0.15834487309163459,8.881784197001252e-16,0.45432395065602904,0.0,0.0,0.0
14,*CCOC(=O)C1C2C=CC(C2)C1C(=O)O*,30,5.398530693571448,5.501296815901166,0.1001274917071724,8.881784197001252e-16,0.27309530514015545,0.0,0.0,0.0
15,*Cc1ccc(C(=O)c2ccc(*)s2)s1,30,2.6816961083759,2.706756200639034,0.09791651668474106,8.881784197001252e-16,0.20505794910616748,0.0,0.0,0.0
16,*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,30,2.55375208017507,2.7433239778800265,0.1278143775487326,4.440892098500626e-16,0.5145632801088107,0.0,0.0,0.0
17,*Oc1ccc(C(F)(F)C(*)(F)F)s1,30,3.9900438264868696,4.3746468079453535,0.23362955623327958,4.440892098500626e-16,0.7175385279616431,0.0,0.0,0.0
18,*CC(=O)Nc1ccc(*)s1,30,3.902217604426758,3.841631376282797,0.10476948089237971,8.881784197001252e-16,0.25859973369380373,0.0,0.0,0.0
19,*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,30,2.4675877938366377,2.527576592969241,0.10206360369667351,4.440892098500626e-16,0.2789809774090073,0.0,0.0,0.0
20,*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,30,1.6967159371591223,1.8830251284711657,0.08337569154215083,4.440892098500626e-16,0.3478593143472757,0.0,0.0,0.0
21,*NC(=O)c1ccc(C(*)=S)s1,30,1.9546799568755058,2.1413813535485313,0.13524832845718648,7.475135279923368e-16,0.4668912126355187,0.0,0.0,0.0
22,*CC(*)(C#N)C#N,30,5.81180785828796,5.668833473400293,0.09071681047508401,1.7763568394002505e-15,0.3355375449952893,0.0,0.0,0.0
23,*Cc1ccc(-c2ccc(O*)cc2)cc1,30,3.6981609285678436,3.752574311362312,0.11867611650556835,0.0,0.35413301087391513,0.0,0.0,0.0
24,*Cc1ccc(NC(*)=S)cc1,30,3.4695765993013556,3.514811653892829,0.07456509773110416,1.3322676295501878e-15,0.19900280548097404,0.0,0.0,0.0
25,*C(=S)c1ccc(C(F)(F)C(*)(F)F)cc1,30,2.869480341554683,3.0642804082323662,0.14108066626526503,9.930136612989092e-16,0.37793855450667957,0.0,0.0,0.0
26,*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)cc4)cc3)cc2)cc1,30,2.7434832798765645,2.882977193336139,0.12824024423413244,1.3322676295501878e-15,0.3807114678226413,0.0,0.0,0.0
27,*c1ccc(C(F)(F)NC(*)(F)F)cc1,30,4.2798907420483845,4.422094346970359,0.1346472116517863,8.881784197001252e-16,0.4950925043731145,0.0,0.0,0.0
28,*C1C(=O)OC(=O)C1*,30,5.963531078022838,5.75158088909481,0.11223057775762457,0.0,0.4707831015953623,0.0,0.0,0.0
29,*CC(*)CCC,24,7.282724625374492,7.191951503008784,0.04158568212139623,0.0,0.13828854350651554,0.0,0.0,0.0
30,*NC(=O)Nc1ccc(*)s1,30,3.2744461661936075,3.3563030398020595,0.1130355675893493,3.255485534392421e-05,0.32616063141700824,0.0,0.0,0.0
31,*CC(=O)C(=S)C(*)=O,30,1.4266014583164424,1.961444398889758,0.34869406542095355,4.440892098500626e-16,1.1936740625006195,0.1,0.0,0.0
