polymer,smiles,n_variants,pred_canonical,mean_pred,std_pred,std_pred_graph_only,max_dev,viol_rate_0_5sigma,viol_rate_1sigma,viol_rate_2sigma
0,*OC(F)(F)c1ccc(C(*)(F)F)s1,30,7.5738021398954425,7.231432090494841,0.20592425509018747,1.7763568394002505e-15,0.6402223669595388,0.23333333333333334,0.0,0.0
1,*c1ccc(C(F)(F)CC(*)(F)F)s1,30,7.1552668134665955,6.784190640837351,0.15312506910510523,0.0,0.5760483571410324,0.06666666666666667,0.0,0.0
2,*CC(=O)C(=S)C(*)=O,30,6.832140557333242,6.827309666879561,0.0684994000282648,1.7763568394002505e-15,0.1397579805430027,0.0,0.0,0.0
3,*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,30,4.802392348128254,5.245970465367148,0.08868778841584436,8.881784197001252e-16,0.5506281655340359,0.06666666666666667,0.0,0.0
4,*C(=O)C(F)(F)NC(*)(F)F,30,8.541662913904142,8.197755900987836,0.20714258194769833,1.7763568394002505e-15,0.6613320403081584,0.23333333333333334,0.0,0.0
5,*NC(F)(F)CC(*)(F)F,30,8.54475070613136,8.167458709509964,0.18505683319409308,1.7763568394002505e-15,0.741566314720977,0.16666666666666666,0.0,0.0
6,*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,30,5.515463744383088,5.5069599679231676,0.039215336257031295,8.881784197001252e-16,0.09420671256696256,0.0,0.0,0.0
7,*Cc1ccc(CC(*)=S)cc1,30,5.972227810763652,5.998674932419589,0.020454388754321987,8.881784197001252e-16,0.07632638386532786,0.0,0.0,0.0
8,*COc1ccc(O*)cc1,30,5.813357456734745,5.895228997356593,0.02318759413506665,1.7763568394002505e-15,0.11127370958264926,0.0,0.0,0.0
9,*CNC(=S)O*,24,6.242234339852101,6.202948223516913,0.05055681640106968,0.0,0.1350747741668794,0.0,0.0,0.0
10,*CC(*)(F)F,29,8.088301775470763,7.870337061294302,0.1363250395067193,1.7763568394002505e-15,0.4184479918373025,0.0,0.0,0.0
11,*C(=S)C(=O)C(F)(F)C(*)(F)F,30,7.270095600423458,6.919624891764068,0.15837856182803156,2.6645352591003757e-15,0.5301426704098429,0.03333333333333333,0.0,0.0
12,*NC(=S)Nc1ccc(Cc2ccc(*)cc2)cc1,30,5.37305327660351,5.450007283812446,0.04169380578429945,8.881784197001252e-16,0.1691642155012989,0.0,0.0,0.0
13,*CCC(F)(F)C(*)(F)F,30,8.007273310944592,7.921892033732932,0.1352147603046712,1.7763568394002505e-15,0.314218446189118,0.0,0.0,0.0
14,*Nc1ccc(C(=S)c2ccc(*)s2)s1,30,5.240136758222086,5.401681921401573,0.040994932087892885,1.7763568394002505e-15,0.2102983403950196,0.0,0.0,0.0
15,*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,30,5.808969469202702,5.966134206803441,0.08406376247597767,1.7763568394002505e-15,0.335395580981074,0.0,0.0,0.0
16,*CC(=O)CO*,24,6.981194249753303,6.892704580699441,0.09755468593452248,8.881784197001252e-16,0.22597793806807687,0.0,0.0,0.0
17,*CNC(=S)c1ccc(*)cc1,30,5.775090522784669,5.785620150549052,0.019751781681726834,8.881784197001252e-16,0.054856671408740176,0.0,0.0,0.0
18,*CC(=S)c1ccc(C(*)=S)s1,30,5.917639483625622,5.969518414623142,0.027399494795833822,2.6645352591003757e-15,0.11050309109785594,0.0,0.0,0.0
19,*CNCO*,10,6.042931138197277,5.997485740387853,0.03996425227548715,0.0,0.1235058382272145,0.0,0.0,0.0
20,*Nc1ccc(*)cc1,28,5.8908380190406495,5.9409641742636365,0.021899561061634917,8.881784197001252e-16,0.08003118948446719,0.0,0.0,0.0
21,*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,30,5.138231426416916,5.4453338815401935,0.19031452100072266,1.7763568394002505e-15,0.6686570140128003,0.13333333333333333,0.0,0.0
22,*C(=O)c1ccc(Oc2ccc(*)s2)cc1,30,6.246305301931617,6.020329222955288,0.06840730603046503,8.881784197001252e-16,0.3681854058607037,0.0,0.0,0.0
23,*c1ccc(*)s1,20,6.187671884629127,6.259764373294132,0.02326731667410675,0.0,0.09273414188505757,0.0,0.0,0.0
24,*NC(=O)c1ccc(C(*)=O)s1,30,7.068056492255164,6.806023519109599,0.16813641123716963,1.7763568394002505e-15,0.47828546149378415,0.0,0.0,0.0
25,*OC(=S)c1ccc(C(*)=O)cc1,30,6.827096713364796,6.692664759562164,0.05713805862863597,0.0,0.2733771096126141,0.0,0.0,0.0
26,*Cc1ccc(-c2ccc(O*)s2)s1,30,5.270327110456398,5.474325722727929,0.04372745836602602,8.881784197001252e-16,0.27163091607382484,0.0,0.0,0.0
27,*Sc1ccc(*)cc1,28,6.160334834078168,6.1739326943703725,0.010364185494897158,1.7763568394002505e-15,0.030041580451414696,0.0,0.0,0.0
28,*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,30,4.7404226344797245,5.146675433852874,0.050670369836828384,8.881784197001252e-16,0.4927857801706903,0.0,0.0,0.0
29,*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,30,5.684200881515277,5.701525536978285,0.0325217423417869,1.7763568394002505e-15,0.10077912243041975,0.0,0.0,0.0
30,*Cc1ccc(-c2ccc(N*)cc2)cc1,30,5.1409804359812075,5.249472950890264,0.04570887740440837,1.7763568394002505e-15,0.17211134873732092,0.0,0.0,0.0
31,*NC(=O)Nc1ccc(*)s1,30,4.942929835660143,5.352094140640512,0.16290700182974033,0.001474680167468705,0.570298482740677,0.4,0.0,0.0
32,*CC(=O)C(=S)O*,30,6.737851801534665,6.725565294385829,0.07030157780431388,8.881784197001252e-16,0.18708178763698236,0.0,0.0,0.0
33,*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,30,5.53803118433549,5.5247477792699495,0.04023538126962789,8.881784197001252e-16,0.07954939897081736,0.0,0.0,0.0
34,*c1ccc(NC(F)(F)C(*)(F)F)cc1,30,6.673673330301806,6.657545738453536,0.10445183255512956,1.7763568394002505e-15,0.2735801473188495,0.0,0.0,0.0
35,*Oc1ccc(C(F)(F)C(*)(F)F)s1,30,6.892271346214944,6.722277588565435,0.18347202029159912,1.7763568394002505e-15,0.35283345198653304,0.0,0.0,0.0
36,*CNCC(*)=S,24,6.090046486971745,6.076222448883538,0.033985487914607926,0.0,0.0915526137847289,0.0,0.0,0.0
37,*CNc1ccc(-c2ccc(*)s2)cc1,30,5.231182726056015,5.318544910907467,0.04534125677020081,1.7763568394002505e-15,0.1470899129514036,0.0,0.0,0.0
38,*Nc1ccc(C(=O)C(*)=S)cc1,30,5.97202398297821,6.207418187558465,0.10689398541365894,8.881784197001252e-16,0.3822510577083369,0.0,0.0,0.0
39,*NC(=S)c1ccc(O*)cc1,30,6.122071924559618,6.056857012372457,0.025244621170940656,2.6645352591003757e-15,0.09683885278017446,0.0,0.0,0.0
40,*NC(=S)NC(*)=S,30,6.162899567891074,6.145597874011516,0.031006654748609253,2.6645352591003757e-15,0.07644751948467565,0.0,0.0,0.0
41,*Nc1ccc(C(=S)c2ccc(*)cc2)cc1,30,5.445813980241384,5.506709785534176,0.023355734801956154,0.0,0.10533062011827088,0.0,0.0,0.0
42,*NC(=O)C(=S)C(*)=O,30,6.143615352771748,6.284925149076285,0.12598704963400179,0.0,0.3719414523230995,0.0,0.0,0.0
43,*OC(=O)c1ccc(C(*)=O)s1,30,7.4643600763976234,7.102703717674904,0.11699087531648154,2.6645352591003757e-15,0.5766697871210766,0.1,0.0,0.0
44,*C(F)C(*)(F)F,30,8.04368440431128,7.8661989534889605,0.14885329838906866,0.0,0.3746949356827747,0.0,0.0,0.0
45,*CC(=O)NC(*)=O,30,5.858715363250233,6.038650396869806,0.1399651182359748,1.7763568394002505e-15,0.4006805048876112,0.0,0.0,0.0
46,*CNCCNC(=O)OC*,30,6.3724740960077675,6.362271859994818,0.07646462162669866,1.7763568394002505e-15,0.1753849098673781,0.0,0.0,0.0
47,*Cc1ccc(-c2ccc(C(*)=S)s2)cc1,30,5.753460586047174,5.74754623457281,0.037837838213596826,1.7763568394002505e-15,0.11642280894406998,0.0,0.0,0.0
48,*CC(O*)C(F)(F)F,30,8.001820174184969,8.022433015747099,0.24783882761620554,3.552713678800501e-15,0.8650227541438493,0.06666666666666667,0.0,0.0
49,*Cc1ccc(C(=O)c2ccc(*)s2)cc1,30,6.5618477807756515,6.404321591502164,0.11706097515974766,0.0,0.38846808808250355,0.0,0.0,0.0
50,*OC(=S)Oc1ccc(*)s1,30,6.115388633464898,6.119510535641357,0.060072348920190574,1.7763568394002505e-15,0.14072899570561415,0.0,0.0,0.0
51,*CC(=O)c1ccc(O*)cc1,30,6.790712974583267,6.657171916789164,0.10158901031280425,1.7763568394002505e-15,0.28105935712670593,0.0,0.0,0.0
52,*c1ccc(CC(F)(F)C(*)(F)F)s1,30,6.824859803799555,6.610483552876051,0.13929060596956389,2.6645352591003757e-15,0.3909788958122524,0.0,0.0,0.0
53,*c1ccc(C(F)(F)CC(*)(F)F)cc1,30,7.500281964772318,7.320251620785189,0.11982149590887645,1.7763568394002505e-15,0.4299692399072921,0.0,0.0,0.0
54,*CNOc1ccc(*)s1,30,5.552064830952562,5.662102218826731,0.026911376484404045,8.881784197001252e-16,0.14551302677565658,0.0,0.0,0.0
55,*OC(=S)c1ccc(C(*)=O)s1,30,6.792175364466133,6.706516411970181,0.061938937816378895,2.6645352591003757e-15,0.19278562486078865,0.0,0.0,0.0
56,*Oc1ccc(Oc2ccc(*)s2)s1,30,5.108746420339572,5.284121132458253,0.050500898729232996,0.0,0.25622213019220474,0.0,0.0,0.0
57,*OC(F)(F)NC(*)(F)F,30,9.066358509480239,8.31120556004065,0.2899860089403024,1.7763568394002505e-15,1.1176675481975717,0.8,0.1,0.0
58,*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,30,5.975692969976384,5.842217228119174,0.09171596877757472,8.881784197001252e-16,0.2980435954056695,0.0,0.0,0.0
59,*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,30,5.42216269791481,5.447120597192359,0.028690933362463842,8.881784197001252e-16,0.08101083439417156,0.0,0.0,0.0
60,*NC(=O)NC(=O)c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)s1,30,6.130874506673516,6.027388006710231,0.10344864694876844,8.881784197001252e-16,0.32351462530704644,0.0,0.0,0.0
61,*Nc1ccc(Oc2ccc(*)cc2)cc1,30,5.319380820144525,5.415467762045352,0.043258611183540435,8.881784197001252e-16,0.14301344670236382,0.0,0.0,0.0
62,*CC(=S)c1ccc(O*)s1,30,5.945110161865731,6.026047515746616,0.025533672271496197,8.881784197001252e-16,0.13829590406705883,0.0,0.0,0.0
63,*Cc1ccc(C(=O)C(*)=S)s1,30,6.458424633266491,6.419573450882208,0.05903902424111206,2.6645352591003757e-15,0.1308947722223497,0.0,0.0,0.0
64,*CC(=O)NC(*)=S,30,5.925193328272146,5.9668861942021465,0.04428634155391042,0.0,0.1496103534392832,0.0,0.0,0.0
65,*OC(F)(F)C(=S)C(*)(F)F,30,7.715406526734235,7.536224135080277,0.22556334815221885,1.7763568394002505e-15,0.4994586952171094,0.0,0.0,0.0
66,*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,30,4.918257157907659,5.186220789723145,0.06616695728931242,8.881784197001252e-16,0.37549885438106934,0.0,0.0,0.0
67,*Nc1ccc(-c2ccc(C(*)=O)s2)s1,30,5.201268794973826,5.444058926142235,0.09647140715984868,0.0,0.45443179501911235,0.0,0.0,0.0
68,*CNc1ccc(C(*)=S)s1,30,5.336187114908212,5.524375198376515,0.0690375619405594,2.6645352591003757e-15,0.278973067536187,0.0,0.0,0.0
69,*CNc1ccc(O*)cc1,30,5.135433618471588,5.366598782571758,0.07159514934777789,1.7763568394002505e-15,0.2862940076693139,0.0,0.0,0.0
70,*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,30,6.560529232777636,6.455554937905073,0.11742520878181903,8.881784197001252e-16,0.3096825537122072,0.0,0.0,0.0
71,*CC(=S)CO*,24,5.622528362821198,5.827824964746501,0.07022270051415394,8.881784197001252e-16,0.34872594721739336,0.0,0.0,0.0
72,*CCc1ccc(-c2ccc(*)cc2)cc1,30,5.687544366901823,5.754295580681444,0.030360120594040845,8.881784197001252e-16,0.11266767007277068,0.0,0.0,0.0
73,*Cc1ccc(Cc2ccc(*)cc2)cc1,30,6.1767086484909255,6.1353293109255755,0.032873120207159,1.7763568394002505e-15,0.09000312326056292,0.0,0.0,0.0
74,*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,30,6.1874107589180785,6.039640720744544,0.072739289305157,0.0,0.27236912612446496,0.0,0.0,0.0
75,*Cc1ccc(C(=S)c2ccc(*)s2)s1,30,5.737008421060134,5.794527890311991,0.034261494476398494,8.881784197001252e-16,0.1162472306260014,0.0,0.0,0.0
76,*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,30,5.658143188847021,5.672526441983488,0.017135924852639678,0.0,0.042127092822966006,0.0,0.0,0.0
77,*CNC(=O)c1ccc(*)s1,30,6.272965466170183,6.23704350318532,0.07083389812598295,1.7763568394002505e-15,0.19711412495212954,0.0,0.0,0.0
78,*CNC(=S)N*,24,6.036741400375051,6.050627218173783,0.021521818631496544,0.0,0.06386199771612855,0.0,0.0,0.0
79,*Nc1ccc(NC(=O)NONC(*)=O)s1,30,5.693855475335864,5.809042788699222,0.19028163116622088,2.6645352591003757e-15,0.4635541995441512,0.0,0.0,0.0
80,*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,30,6.257309391079122,6.108546943734353,0.09272461638993668,1.7763568394002505e-15,0.31043148058350223,0.0,0.0,0.0
81,*C(=O)NC(F)(F)C(*)(F)F,30,8.18520581259255,8.057304655250352,0.18566030673944348,1.213482738407331e-15,0.43998652075985856,0.0,0.0,0.0
82,*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,30,4.90998525898727,5.061219693429461,0.06104254183884499,1.7763568394002505e-15,0.22766664578714035,0.0,0.0,0.0
83,*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,30,6.158488684072934,6.014100998689315,0.07620209054447909,2.6645352591003757e-15,0.291559130228789,0.0,0.0,0.0
84,*CNc1ccc(N*)s1,30,5.262471372500691,5.446788705163479,0.059991963346394485,1.7763568394002505e-15,0.24645208114584705,0.0,0.0,0.0
85,*Cc1ccc(NO*)s1,30,5.546569261891797,5.589298959557454,0.030521403878512286,1.7763568394002505e-15,0.08182941650587505,0.0,0.0,0.0
86,*CNC(=O)ONC(=O)NO*,30,6.877718390664006,6.810784188676471,0.1435539207528233,1.7763568394002505e-15,0.3476739356289791,0.0,0.0,0.0
87,*CC(=O)Cc1ccc(*)cc1,30,6.276594173513503,6.298978530438536,0.04063286032689159,0.0,0.07844372270412059,0.0,0.0,0.0
88,*OC(=O)C(F)(F)C(*)(F)F,30,9.053500358766748,8.302692403991601,0.31079860203784854,0.0,1.1533752780669264,0.8333333333333334,0.13333333333333333,0.0
89,*C(=O)c1ccc(C(=O)C(*)=S)cc1,30,6.772397238128819,6.710090158497268,0.057826223186250025,2.6645352591003757e-15,0.18749635118036956,0.0,0.0,0.0
90,*CC(=O)O*,20,7.5368624066956995,7.3723686481794575,0.1380544075028919,8.881784197001252e-16,0.3318387361840287,0.0,0.0,0.0
