polymer,smiles,n_variants,pred_canonical,mean_pred,std_pred,std_pred_graph_only,max_dev,viol_rate_0_5sigma,viol_rate_1sigma,viol_rate_2sigma
0,*CCOC(=S)NC(=S)c1ccc(N*)cc1,30,5.2796563363276405,5.309573750947373,0.08292389561114517,1.7763568394002505e-15,0.242780200386278,0.0,0.0,0.0
1,*CO*,6,3.6562028317704476,3.684755585658289,0.0240383810422881,4.440892098500626e-16,0.0713907808123162,0.0,0.0,0.0
2,*CC(=O)c1ccc(C(*)=S)s1,30,5.549040105050521,5.390921343648397,0.09031550211445655,0.0,0.3092191434449143,0.0,0.0,0.0
3,*C(=O)Oc1ccc(C(*)=S)cc1,30,4.854967249795116,4.746740774597428,0.09527426702356354,1.7763568394002505e-15,0.26705861448212964,0.0,0.0,0.0
4,*CC(=O)Oc1ccc(*)s1,30,4.051022326882213,4.141905862642982,0.045109280897722835,8.881784197001252e-16,0.19429363045906545,0.0,0.0,0.0
5,*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)s1,30,5.8727563882639995,5.765061010270553,0.0557275091791847,8.881784197001252e-16,0.21955235961888775,0.0,0.0,0.0
6,*Oc1ccc(C(F)(F)C(*)(F)F)s1,30,3.640303102986583,3.8168108240687264,0.053932156103355625,4.440892098500626e-16,0.29946823416964197,0.0,0.0,0.0
7,*Cc1ccc(Cc2ccc(*)s2)cc1,30,3.444362418746729,3.603930692201796,0.06663579600022013,1.3322676295501878e-15,0.2779302345447774,0.0,0.0,0.0
8,*NC(=S)Nc1ccc(NC(=S)Nc2ccc(Cc3ccc(*)cc3)cc2)cc1,30,4.62517247361996,4.769595527118105,0.12158167235535729,8.881784197001252e-16,0.3716668221990451,0.0,0.0,0.0
9,*CCCO*,10,3.036912855406097,3.267794770541078,0.08559087361819018,0.0,0.30457092221061544,0.0,0.0,0.0
10,*CONC(*)=O,24,4.138549613271853,4.127542910503189,0.055056044383861386,0.0,0.18276037204529771,0.0,0.0,0.0
11,*CNC(=S)c1ccc(*)s1,30,4.667837264225877,4.826985368264449,0.12447452059415028,8.881784197001252e-16,0.31355597414640357,0.0,0.0,0.0
12,*CCC(=O)N*,24,3.4883045930913292,3.655148723552646,0.08139311389656857,4.440892098500626e-16,0.41267510261248486,0.0,0.0,0.0
13,*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,30,5.131954229594525,4.9905062536685145,0.05892264186602144,0.0,0.23947959681000341,0.0,0.0,0.0
14,*NC(=O)C(=S)c1ccc(*)s1,30,8.195498908528446,7.486361676477303,0.10783666957082205,1.7763568394002505e-15,0.8444697502678222,0.9,0.0,0.0
15,*Nc1ccc(OC(*)=S)s1,30,5.0594069384049085,4.921992067499147,0.056650117924953024,8.881784197001252e-16,0.2824430574530288,0.0,0.0,0.0
16,*OC(F)(F)CC(*)(F)F,30,3.4976293804747676,3.58739261023628,0.03894374069267187,8.881784197001252e-16,0.14378235068485745,0.0,0.0,0.0
17,*CC(=O)c1ccc(C(*)=O)cc1,30,4.208906846214603,4.223186364817652,0.04266545485492971,0.0,0.10999344298986369,0.0,0.0,0.0
18,*Cc1ccc(OC(*)=S)cc1,30,4.049349226643633,4.22183887698811,0.10277781928643928,8.881784197001252e-16,0.5032805299618106,0.0,0.0,0.0
19,*c1ccc(C(F)(F)NC(*)(F)F)s1,30,4.459453280053834,4.216020065941864,0.09048335579713368,0.0,0.3654833508097459,0.0,0.0,0.0
