polymer,smiles,n_variants,pred_canonical,mean_pred,std_pred,std_pred_graph_only,max_dev,viol_rate_0_5sigma,viol_rate_1sigma,viol_rate_2sigma
0,*Nc1ccc(cc1)C(c1ccc(cc1)NC(=O)c1cc(cc(c1)NC(=O)CCCN1C(=O)c2c(C1=O)cccc2)C(=O)*)(C(F)(F)F)C(F)(F)F,30,239.6357537984295,251.6161594830126,12.565090161838288,0.25945384041885977,38.604324068431595,0.0,0.0,0.0
1,*N1C(=O)c2c(C1=O)cc(cc2)Oc1c(cccc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)*)cc1,30,207.89968969798832,234.16163486446158,14.271272060387338,0.6018458425972425,51.58167687916222,0.0,0.0,0.0
2,*NC(=O)CCP(=O)(CCC(=O)NCCCCCCCCCC*)C,30,46.400122063070384,28.236081631491075,7.006174930647908,2.1117986766852218e-14,31.490947444572782,0.0,0.0,0.0
3,*N1C(=O)c2c(C1=O)cc(cc2)Oc1c(cccc1)Oc1cc2c(C(=O)N(C2=O)c2cc(c(cc2)Oc2c(cccc2)Oc2c(cc(cc2)*)C(F)(F)F)C(F)(F)F)cc1,30,204.67018928776588,233.1117805316398,10.53208757930488,1.250650662852158,49.03653058555807,0.0,0.0,0.0
4,*C(C*)C(=O)OCCCCSC,30,-63.067764665342416,-58.31458335036438,6.800819703697226,2.051160198809135e-14,23.907104463241787,0.0,0.0,0.0
5,*c1cc2c(C(=O)N(C2=O)c2c(ccc(c2)C(=O)Oc2ccc(cc2)C(c2ccc(cc2)OC(=O)c2cc(c(cc2)C)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)C)cc1,30,281.1138175797766,290.21185421284105,16.1579279039462,0.4526755746152307,38.933543532291935,0.0,0.0,0.0
6,*OC(=O)CCCCCCCCC(=O)OCC*,30,-40.06553784677635,-41.37592676393226,8.522239673428382,3.432247492722581e-15,21.11512269451194,0.0,0.0,0.0
7,*C(CCCCC*)C,30,-58.06846962538506,-58.81661985272763,15.34967385568371,1.1457157353758234e-14,48.1573632389853,0.0,0.0,0.0
8,*Oc1ccc(cc1)C(=O)OCCOCCOCCOCCOC(=O)c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*,30,34.6384569736003,77.22264613564222,13.36956196572429,1.3862638781013357,72.72047482302783,0.16666666666666666,0.0,0.0
9,*C(C*)(C(=O)OCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)OCCCC)C,30,107.45263908080562,68.28643386986693,11.01298311120605,0.9601643851250011,56.577067467541355,0.13333333333333333,0.0,0.0
10,*N=Nc1ccc(cc1)NC(=O)CCC(=O)Nc1ccc(cc1)*,30,220.9340270991185,209.27348889625256,14.759525965535463,2.842170943040401e-14,43.428518619680915,0.0,0.0,0.0
11,*C(C*)(C(=O)OCC(Oc1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C#N)C)C,30,134.5288016115441,127.13591384817376,14.912801088745644,0.7613525165622091,37.24575273853287,0.0,0.0,0.0
12,*c1nc2c(cc1)cc(cc2)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)C(=O)*,30,236.16256283374543,245.78021043770804,11.586191949410523,0.2965504954400088,46.685709066319475,0.0,0.0,0.0
13,*N=P(*)(OCCCCC)OCCC,30,-95.2196939486855,-65.98811080836369,8.283884433836329,3.4809342861069267e-14,45.93354362285917,0.0,0.0,0.0
14,*Oc1ccc(cc1)OCC(CN(S(=O)(=O)c1ccc(cc1)c1ccc(cc1)S(=O)(=O)N(CC(C*)O)C)C)O,30,84.08813613020013,95.80729472658587,12.76652381044014,3.198757860168017e-14,36.579454817336114,0.0,0.0,0.0
15,*Oc1c(cc(cc1)C(c1cc(c(cc1)OC(=O)c1ccc(cc1)C(=O)*)C(CC)C)(C)C)C(CC)C,30,94.4400002392032,159.04635289256012,14.565249982748428,2.842170943040401e-14,93.5961737361773,0.7,0.0,0.0
16,*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)c1ccc(cc1)Cc1ccc(cc1)C(=O)*)(C)C,30,183.58609597235582,192.152361899889,11.69171075183187,2.842170943040401e-14,33.34332792112616,0.0,0.0,0.0
17,*c1oc(nn1)c1ccc(cc1)C(=O)OCCCCCCOc1ccc(cc1)C=C1C(=O)C(=Cc2ccc(cc2)OCCCCCCOC(=O)c2ccc(cc2)*)CCC1,30,81.22264082411108,102.5235645022357,11.721429646467774,0.6305626840952594,37.34877379811162,0.0,0.0,0.0
18,*Oc1c(cc(cc1)Oc1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)*)c1ccccc1,30,225.74435911471528,253.45867950442548,13.781118762102851,0.20364517654206626,58.3245275263842,0.03333333333333333,0.0,0.0
19,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)OCCOCCOCCOCCOC(=O)*)cc1,30,60.104044090676496,87.25284258500135,12.997198949350365,1.958831142032156e-14,48.18860209541904,0.0,0.0,0.0
20,*C(C*)(C(=O)Oc1ccc(cc1)C(=O)Oc1ccc(cc1)c1ccccc1)C,30,101.72751462703559,115.5512421734309,12.653667060558986,0.5809841876157478,38.20720793630008,0.0,0.0,0.0
21,*OC(=O)CC(=O)OCCOCC*,30,-42.42022872107292,-33.393068239877685,11.513682784057462,2.1117986766852218e-14,35.04667257756548,0.0,0.0,0.0
22,*C(C*)C(=O)Oc1c(cccc1)C,30,51.04156554105798,55.72357473123121,10.267643113458774,1.4210854715202004e-14,24.55432207859417,0.0,0.0,0.0
23,*c1oc(nn1)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1c(cc(cc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)*)Oc1ccccc1,30,244.17034920967035,261.8285875835562,12.38999149867508,1.0437461384483495,43.62869481091144,0.0,0.0,0.0
24,*C(C*)OCCOc1ccc(cc1)C=C(C#N)C#N,30,45.31868510946728,53.57607352676089,6.570518341218801,0.6298490445461283,26.037652412564398,0.0,0.0,0.0
25,*c1cc2c(oc(n2)c2ccc(cc2)Oc2ccc(cc2)c2oc3c(n2)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,30,305.9365686278333,307.1566932562387,14.898617334069263,1.1368683772161603e-13,33.68242356996484,0.0,0.0,0.0
26,*c1c2C(=O)N(C(=O)c2c(c2ccccc12)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*)c1ccccc1,30,270.8513520352216,275.1256666521407,10.171255814774788,0.0,23.04314386898659,0.0,0.0,0.0
27,*OC(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)OCCCCCCCCC*,30,71.02526000003424,78.91852275425595,11.538508969449419,1.0378140918593053e-14,26.97462988214211,0.0,0.0,0.0
28,*C(C*)c1ccc(cc1)OCC,30,79.36096053200347,68.0296471350947,9.250792751843337,0.0,33.23076301403849,0.0,0.0,0.0
29,*Oc1ccc(cc1)C(=Nc1ccc(cc1)N=C(c1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)*)(C)C)c1ccccc1)c1ccccc1,30,163.3215089102588,209.54262447446698,17.043527602832388,0.3317713086844921,73.53421191321772,0.36666666666666664,0.0,0.0
30,*Oc1ccc(cc1)Oc1ccc(cc1)Oc1c(cc(cc1)S(=O)(=O)c1cc(c(cc1)Oc1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)*)S(=O)(=O)O[Na])S(=O)(=O)O[Na],30,307.99985060637187,285.0316360050382,12.669911984052149,5.189070459296527e-14,41.19072533161,0.0,0.0,0.0
31,*OC(C*)CCl,24,-22.51053303473875,-30.08608504361692,10.146008311939815,5.0242958677880805e-15,21.729376851576603,0.0,0.0,0.0
32,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,30,263.5608223778197,270.65434419328415,19.420918952040445,0.09717316855735768,50.448435348465466,0.0,0.0,0.0
33,*Oc1ccc(cc1)CC(NC(=O)CCc1ccc(cc1)OC(=O)CCCCC(=O)*)C(=O)OCCCCCC,30,34.51606148337309,57.34526825727183,13.130388309883873,0.2307561738346805,48.24427559405983,0.0,0.0,0.0
34,*Oc1ccc(cc1)N1ON1c1ccc(cc1)OCCCCCCOC(=O)CC(=O)OCCCCCC*,30,14.419756025664931,26.610590658600877,11.078696258594332,2.674385700306491e-15,29.397381429700125,0.0,0.0,0.0
35,*Oc1ccc(cc1)C1(c2ccccc2c2ccccc12)c1ccc(cc1)Oc1c(cc(cc1)C(=O)c1ccc(cc1)C(=O)c1cc(c(cc1)*)C(F)(F)F)C(F)(F)F,30,229.88184779062806,259.1638162963801,8.413048549904486,0.5578774525434917,44.95583614937914,0.0,0.0,0.0
36,*NC(=O)c1ccc(cc1)C(=O)NCC(CC(CC*)C)(C)C,30,143.78802479001797,130.01371559544302,11.536657652848799,2.842170943040401e-14,42.176231357074116,0.0,0.0,0.0
37,*C(C*)C(=O)OCCC#N,30,0.317900355794976,-2.8647444971266594,14.318843067866641,1.4355831967844613e-15,33.47613811574729,0.0,0.0,0.0
38,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)Oc2ccc(cc2)c2ccc(cc2)Oc2ccc(cc2)NC(=O)c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,30,291.1145671227998,320.9500759310055,20.027611249866887,0.090840956245611,62.77721310877547,0.13333333333333333,0.0,0.0
39,*[Si](C/C=C\C*)(CCCOc1ccccc1)c1ccccc1,30,-2.5708329150292526,15.936233320274898,16.176323235606702,2.2644195468014703e-15,44.27366088461332,0.0,0.0,0.0
40,*O[Si](O[Si](O[Si](O[Si](OC(CCC(*)C)C)(C)C)(C)C)(C)C)(C)C,30,-95.51566316529147,-71.27676422795255,13.530677808998195,3.1776437161565096e-14,79.43621067466668,0.03333333333333333,0.0,0.0
41,*Oc1ccc(cc1)N=CC=Nc1ccc(cc1)OC(=O)NCCCCCCNC(=O)*,30,79.0696103861161,126.34672883002506,14.163487131254035,2.842170943040401e-14,73.59967725511478,0.3,0.0,0.0
42,*Oc1ccc(cc1)Oc1ccc(cc1)OCCCCCCOC(=O)OCCOC(=O)OCCCCCC*,30,1.0835645840694281,15.041890254309967,10.09401246019537,0.9267599762364009,30.62486754392569,0.0,0.0,0.0
43,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)c2ccc(cc2)C(=O)c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,30,287.9084967793473,296.0213235425675,16.53263587598357,5.684341886080802e-14,46.73632398092258,0.0,0.0,0.0
44,*C(C*)(OC)C,30,65.20089312524092,14.473204533636737,20.324690299927234,1.4210854715202004e-14,80.86713935599701,0.5333333333333333,0.0,0.0
45,*C1C(=O)OC(=O)C1C1C2CC(C(C1*)C2)C(=O)OC1CCCCC1,30,202.81281212111907,195.14791527491676,13.159265595939772,2.842170943040401e-14,30.653071645903793,0.0,0.0,0.0
46,*C=CC(C(*)C(=O)OCC)C(=O)OCC,30,4.158242405026255,6.521037435312239,9.771258139345052,2.599597742227311e-15,26.69257644862891,0.0,0.0,0.0
47,*C(C*)(C(=O)OCCCCCCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C,30,33.09788258808335,14.126378305641962,11.728893951920238,0.9985346704783687,38.36017469940058,0.0,0.0,0.0
48,*OC(C(=O)N(S(=O)(=O)C(C(*)(F)F)(F)F)[Li])(C(F)(F)F)F,30,18.05059237284659,56.2143125932286,16.134293203592037,5.426859785202775e-15,67.48706473734849,0.13333333333333333,0.0,0.0
49,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)c2sc(c(c2c2ccccc2)c2ccccc2)c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Nc2ccc(cc2)Oc2ccc(cc2)NC(=O)*)cc1,30,301.95272752520833,324.07431885867624,15.213479043955129,0.9897184636636497,46.61751261296217,0.0,0.0,0.0
50,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)c2sc(c(c2c2ccccc2)c2ccccc2)c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Nc2ccc(cc2)S(=O)(=O)c2ccc(cc2)NC(=O)*)cc1,30,334.9808624832628,339.774140606408,18.425052718205627,1.1845080880132157,34.962985335716155,0.0,0.0,0.0
51,*Oc1ccc(cc1)C=Cc1c(cc(c(c1)OCCCCCCCC)C=Cc1ccc(cc1)OCCCCCCCC*)OCCCCCCCC,30,64.04019541630441,71.03969452752554,8.621615599173,0.33918517048892144,23.03854382896381,0.0,0.0,0.0
