target,dropped,r2,delta
tg,(none),0.8932870389158654,0.0
tg,desc,0.8890511026980222,-0.004235936217843128
tg,poly,0.8904331943075698,-0.0028538446082955193
tg,morgan,0.8860386383250737,-0.0072484005907916815
tg,char,0.896437301046296,0.003150262130430681
tg,partner,0.8944843958643733,0.0011973569485079771
egc,(none),0.8617925772942714,0.0
egc,desc,0.8534252016653059,-0.008367375628965501
egc,poly,0.86162740268783,-0.00016517460644138726
egc,morgan,0.8459231817363503,-0.015869395557921107
egc,char,0.8628634444713267,0.0010708671770552902
egc,partner,0.8628292402628361,0.00103666296856475
egb,(none),0.8375807028769053,0.0
egb,desc,0.8219408057107386,-0.01563989716616676
egb,poly,0.8380161367313246,0.00043543385441924265
egb,morgan,0.8283207951266419,-0.009259907750263419
egb,char,0.8323004924911378,-0.005280210385767536
egb,partner,0.8650171670260617,0.027436464149156348
ei,(none),0.7676753732663975,0.0
ei,desc,0.7146027583793099,-0.05307261488708759
ei,poly,0.762308131229174,-0.005367242037223496
ei,morgan,0.7686732038598701,0.0009978305934726928
ei,char,0.7694697167975139,0.0017943435311164047
ei,partner,0.7838830036242859,0.016207630357888414
eea,(none),0.8173358275457717,0.0
eea,desc,0.829988933972267,0.012653106426495309
eea,poly,0.8185229330977616,0.0011871055519898643
eea,morgan,0.7853163441977127,-0.03201948334805904
eea,char,0.8126424678615713,-0.004693359684200371
eea,partner,0.8173701266870647,3.429914129293721e-05
nc,(none),0.7475511477558798,0.0
nc,desc,0.7512909135540968,0.0037397657982169985
nc,poly,0.751181573302311,0.0036304255464311153
nc,morgan,0.7490246906052613,0.001473542849381504
nc,char,0.7556871502292589,0.00813600247337909
nc,partner,0.7841414412379633,0.036590293482083425
eps,(none),0.6673910440661068,0.0
eps,desc,0.6486283633529595,-0.01876268071314735
eps,poly,0.6821165690666697,0.0147255250005629
eps,morgan,0.6341021931255069,-0.03328885094059997
eps,char,0.7178069926856239,0.05041594861951704
eps,partner,0.6845457063049404,0.01715466223883355
